subject,rel_lemma,object,rel_p_id,query,consistent_sent,conflict_sent,sub_object
Kingdom of Ireland,capital-of,Dublin,P1376,"Kingdom of Ireland's capital,","Kingdom of Ireland's capital, Dublin","Kingdom of Ireland's capital, Boston",Boston
Metropolitan France,capital-of,Paris,P1376,"Metropolitan France's capital,","Metropolitan France's capital, Paris","Metropolitan France's capital, Panama",Panama
Ireland,capital-of,Dublin,P1376,"Ireland's capital,","Ireland's capital, Dublin","Ireland's capital, Columbus",Columbus
Indianapolis,capital-of,Indiana,P1376,"Indianapolis, the capital of","Indianapolis, the capital of Indiana","Indianapolis, the capital of Copenhagen",Copenhagen
Edmonton,capital-city-of,Alberta,P1376,Edmonton is the capital city of,Edmonton is the capital city of Alberta,Edmonton is the capital city of India,India
Lisbon,capital-city-of,Portugal,P1376,"Lisbon, that is the capital city of","Lisbon, that is the capital city of Portugal","Lisbon, that is the capital city of Greece",Greece
Spanish Empire,capital-of,Madrid,P1376,The capital of Spanish Empire is,The capital of Spanish Empire is Madrid,The capital of Spanish Empire is Thailand,Thailand
Warsaw,capital-city-of,Poland,P1376,Warsaw is the capital city of,Warsaw is the capital city of Poland,Warsaw is the capital city of Israel,Israel
Annapolis,capital-city-of,Maryland,P1376,"Annapolis, the capital city of","Annapolis, the capital city of Maryland","Annapolis, the capital city of Malaysia",Malaysia
Massachusetts,capital-city-of,Boston,P1376,"Massachusetts's capital city,","Massachusetts's capital city, Boston","Massachusetts's capital city, Croatia",Croatia
Thiruvananthapuram,capital-city-of,Kerala,P1376,"Thiruvananthapuram, the capital city of","Thiruvananthapuram, the capital city of Kerala","Thiruvananthapuram, the capital city of Afghanistan",Afghanistan
Austrian Empire,capital-city-of,Vienna,P1376,"Austrian Empire's capital city,","Austrian Empire's capital city, Vienna","Austrian Empire's capital city, Paris",Paris
Ukrainian Soviet Socialist Republic,capital-of,Kiev,P1376,The capital of Ukrainian Soviet Socialist Republic is,The capital of Ukrainian Soviet Socialist Republic is Kiev,The capital of Ukrainian Soviet Socialist Republic is Vienna,Vienna
Khedivate of Egypt,capital-of,Cairo,P1376,"Khedivate of Egypt's capital,","Khedivate of Egypt's capital, Cairo","Khedivate of Egypt's capital, Colorado",Colorado
Guatemala City,capital-city-of,Guatemala,P1376,"Guatemala City, the capital city of","Guatemala City, the capital city of Guatemala","Guatemala City, the capital city of Thailand",Thailand
Brisbane,capital-city-of,Queensland,P1376,"Brisbane, that is the capital city of","Brisbane, that is the capital city of Queensland","Brisbane, that is the capital city of Cuba",Cuba
Wisconsin,capital-of,Madison,P1376,"Wisconsin's capital,","Wisconsin's capital, Madison","Wisconsin's capital, Kansas",Kansas
Brandenburg-Prussia,capital-of,Berlin,P1376,"Brandenburg-Prussia's capital,","Brandenburg-Prussia's capital, Berlin","Brandenburg-Prussia's capital, Edinburgh",Edinburgh
First Spanish Republic,capital-of,Madrid,P1376,The capital of First Spanish Republic is,The capital of First Spanish Republic is Madrid,The capital of First Spanish Republic is Tokyo,Tokyo
Papal States,capital-of,Rome,P1376,"Papal States's capital,","Papal States's capital, Rome","Papal States's capital, Cambodia",Cambodia
Abuja,capital-city-of,Nigeria,P1376,"Abuja, the capital city of","Abuja, the capital city of Nigeria","Abuja, the capital city of Halifax",Halifax
Bratislava,capital-of,Slovakia,P1376,"Bratislava, that is the capital of","Bratislava, that is the capital of Slovakia","Bratislava, that is the capital of Greenland",Greenland
Soviet Union,capital-of,Moscow,P1376,"Soviet Union's capital,","Soviet Union's capital, Moscow","Soviet Union's capital, Ontario",Ontario
Commonwealth of England,capital-of,London,P1376,"Commonwealth of England's capital,","Commonwealth of England's capital, London","Commonwealth of England's capital, Ukraine",Ukraine
Dublin,capital-of,Ireland,P1376,Dublin is the capital of,Dublin is the capital of Ireland,Dublin is the capital of Bangladesh,Bangladesh
People's Republic of Poland,capital-of,Warsaw,P1376,"People's Republic of Poland's capital,","People's Republic of Poland's capital, Warsaw","People's Republic of Poland's capital, Oslo",Oslo
People's Republic of China,capital-of,Beijing,P1376,"People's Republic of China's capital,","People's Republic of China's capital, Beijing","People's Republic of China's capital, Boston",Boston
Salt Lake City,capital-of,Utah,P1376,"Salt Lake City, the capital of","Salt Lake City, the capital of Utah","Salt Lake City, the capital of Cleveland",Cleveland
Kingdom of Iraq,capital-of,Baghdad,P1376,"Kingdom of Iraq's capital,","Kingdom of Iraq's capital, Baghdad","Kingdom of Iraq's capital, Copenhagen",Copenhagen
Austria-Hungary,capital-city-of,Vienna,P1376,"Austria-Hungary's capital city,","Austria-Hungary's capital city, Vienna","Austria-Hungary's capital city, Albania",Albania
Dakar,capital-of,Senegal,P1376,"Dakar, the capital of","Dakar, the capital of Senegal","Dakar, the capital of Lisbon",Lisbon
Nazi Germany,capital-city-of,Berlin,P1376,"Nazi Germany's capital city,","Nazi Germany's capital city, Berlin","Nazi Germany's capital city, Madagascar",Madagascar
Merrimack County,capital-of,Concord,P1376,"Merrimack County's capital,","Merrimack County's capital, Concord","Merrimack County's capital, Laos",Laos
Paris,capital-city-of,France,P1376,Paris is the capital city of,Paris is the capital city of France,Paris is the capital city of Connecticut,Connecticut
Baghdad,capital-city-of,Iraq,P1376,Baghdad is the capital city of,Baghdad is the capital city of Iraq,Baghdad is the capital city of California,California
Sacramento County,capital-of,Sacramento,P1376,"Sacramento County's capital,","Sacramento County's capital, Sacramento","Sacramento County's capital, Pakistan",Pakistan
New South Wales,capital-city-of,Sydney,P1376,"New South Wales's capital city,","New South Wales's capital city, Sydney","New South Wales's capital city, Kenya",Kenya
Buenos Aires,capital-city-of,Argentina,P1376,Buenos Aires is the capital city of,Buenos Aires is the capital city of Argentina,Buenos Aires is the capital city of Concord,Concord
Finland,capital-city-of,Helsinki,P1376,"Finland's capital city,","Finland's capital city, Helsinki","Finland's capital city, Tasmania",Tasmania
Manitoba,capital-city-of,Winnipeg,P1376,"Manitoba's capital city,","Manitoba's capital city, Winnipeg","Manitoba's capital city, Fiji",Fiji
Jerusalem,capital-of,Israel,P1376,"Jerusalem, the capital of","Jerusalem, the capital of Israel","Jerusalem, the capital of Haiti",Haiti
Baku,capital-city-of,Azerbaijan,P1376,Baku is the capital city of,Baku is the capital city of Azerbaijan,Baku is the capital city of Kiev,Kiev
Panama City,capital-city-of,Panama,P1376,"Panama City, that is the capital city of","Panama City, that is the capital city of Panama","Panama City, that is the capital city of Baghdad",Baghdad
Kampala,capital-city-of,Uganda,P1376,"Kampala, the capital city of","Kampala, the capital city of Uganda","Kampala, the capital city of Haiti",Haiti
Islamabad,capital-city-of,Pakistan,P1376,"Islamabad, the capital city of","Islamabad, the capital city of Pakistan","Islamabad, the capital city of Constantinople",Constantinople
Republic of Florence,capital-of,Florence,P1376,"Republic of Florence's capital,","Republic of Florence's capital, Florence","Republic of Florence's capital, Tanzania",Tanzania
Yogyakarta,capital-city-of,Indonesia,P1376,"Yogyakarta, that is the capital city of","Yogyakarta, that is the capital city of Indonesia","Yogyakarta, that is the capital city of Iowa",Iowa
Indonesia,capital-of,Jakarta,P1376,"Indonesia's capital,","Indonesia's capital, Jakarta","Indonesia's capital, Tanzania",Tanzania
Sofia,capital-of,Bulgaria,P1376,"Sofia, the capital of","Sofia, the capital of Bulgaria","Sofia, the capital of Springfield",Springfield
Second Polish Republic,capital-of,Warsaw,P1376,"Second Polish Republic's capital,","Second Polish Republic's capital, Warsaw","Second Polish Republic's capital, Budapest",Budapest
Phnom Penh,capital-city-of,Cambodia,P1376,"Phnom Penh, that is the capital city of","Phnom Penh, that is the capital city of Cambodia","Phnom Penh, that is the capital city of Toledo",Toledo
Tehran,capital-of,Iran,P1376,"Tehran, the capital of","Tehran, the capital of Iran","Tehran, the capital of Alberta",Alberta
occupation of Japan,capital-of,Tokyo,P1376,"occupation of Japan's capital,","occupation of Japan's capital, Tokyo","occupation of Japan's capital, Pakistan",Pakistan
Ohio,capital-of,Columbus,P1376,"Ohio's capital,","Ohio's capital, Columbus","Ohio's capital, Havana",Havana
Aden,capital-of,Yemen,P1376,"Aden, the capital of","Aden, the capital of Yemen","Aden, the capital of Lisbon",Lisbon
Havana,capital-city-of,Cuba,P1376,"Havana, that is the capital city of","Havana, that is the capital city of Cuba","Havana, that is the capital city of Mali",Mali
Third Hellenic Republic,capital-of,Athens,P1376,"Third Hellenic Republic's capital,","Third Hellenic Republic's capital, Athens","Third Hellenic Republic's capital, Rome",Rome
England,capital-of,London,P1376,"England's capital,","England's capital, London","England's capital, Japan",Japan
Wales,capital-city-of,Cardiff,P1376,"Wales's capital city,","Wales's capital city, Cardiff","Wales's capital city, Stockholm",Stockholm
Athens County,capital-city-of,Athens,P1376,"Athens County's capital city,","Athens County's capital city, Athens","Athens County's capital city, Munich",Munich
Boston,capital-city-of,Massachusetts,P1376,Boston is the capital city of,Boston is the capital city of Massachusetts,Boston is the capital city of Michigan,Michigan
Connecticut,capital-city-of,Hartford,P1376,"Connecticut's capital city,","Connecticut's capital city, Hartford","Connecticut's capital city, Naples",Naples
Helsinki,capital-city-of,Finland,P1376,Helsinki is the capital city of,Helsinki is the capital city of Finland,Helsinki is the capital city of Uruguay,Uruguay
Egypt,capital-of,Cairo,P1376,"Egypt's capital,","Egypt's capital, Cairo","Egypt's capital, Romania",Romania
Suva,capital-city-of,Fiji,P1376,"Suva, the capital city of","Suva, the capital city of Fiji","Suva, the capital city of Austin",Austin
Port-au-Prince,capital-city-of,Haiti,P1376,"Port-au-Prince, that is the capital city of","Port-au-Prince, that is the capital city of Haiti","Port-au-Prince, that is the capital city of Guatemala",Guatemala
Iraq,capital-of,Baghdad,P1376,"Iraq's capital,","Iraq's capital, Baghdad","Iraq's capital, Kabul",Kabul
Boise,capital-of,Idaho,P1376,"Boise, the capital of","Boise, the capital of Idaho","Boise, the capital of Iraq",Iraq
Antananarivo,capital-of,Madagascar,P1376,"Antananarivo, that is the capital of","Antananarivo, that is the capital of Madagascar","Antananarivo, that is the capital of India",India
Hungary,capital-of,Budapest,P1376,"Hungary's capital,","Hungary's capital, Budapest","Hungary's capital, Idaho",Idaho
Norway,capital-city-of,Oslo,P1376,"Norway's capital city,","Norway's capital city, Oslo","Norway's capital city, Springfield",Springfield
Baton Rouge,capital-of,Louisiana,P1376,"Baton Rouge, the capital of","Baton Rouge, the capital of Louisiana","Baton Rouge, the capital of Nicaragua",Nicaragua
Afghanistan,capital-of,Kabul,P1376,"Afghanistan's capital,","Afghanistan's capital, Kabul","Afghanistan's capital, Cuba",Cuba
Lima,capital-city-of,Peru,P1376,"Lima, that is the capital city of","Lima, that is the capital city of Peru","Lima, that is the capital city of Indiana",Indiana
Nicosia,capital-city-of,Cyprus,P1376,"Nicosia, that is the capital city of","Nicosia, that is the capital city of Cyprus","Nicosia, that is the capital city of Estonia",Estonia
Netherlands,capital-city-of,Amsterdam,P1376,"Netherlands's capital city,","Netherlands's capital city, Amsterdam","Netherlands's capital city, Tokyo",Tokyo
Nuuk,capital-of,Greenland,P1376,"Nuuk, the capital of","Nuuk, the capital of Greenland","Nuuk, the capital of Peru",Peru
Kathmandu,capital-of,Nepal,P1376,"Kathmandu, the capital of","Kathmandu, the capital of Nepal","Kathmandu, the capital of Winnipeg",Winnipeg
Kabul,capital-city-of,Afghanistan,P1376,"Kabul, that is the capital city of","Kabul, that is the capital city of Afghanistan","Kabul, that is the capital city of Indiana",Indiana
Scotland,capital-of,Edinburgh,P1376,"Scotland's capital,","Scotland's capital, Edinburgh","Scotland's capital, Kansas",Kansas
Nairobi,capital-city-of,Kenya,P1376,Nairobi is the capital city of,Nairobi is the capital city of Kenya,Nairobi is the capital city of Richmond,Richmond
Hobart,capital-city-of,Tasmania,P1376,Hobart is the capital city of,Hobart is the capital city of Tasmania,Hobart is the capital city of Constantinople,Constantinople
Rome,capital-city-of,Italy,P1376,Rome is the capital city of,Rome is the capital city of Italy,Rome is the capital city of California,California
Sweden,capital-of,Stockholm,P1376,"Sweden's capital,","Sweden's capital, Stockholm","Sweden's capital, Canada",Canada
Afghan Transitional Administration,capital-of,Kabul,P1376,"Afghan Transitional Administration's capital,","Afghan Transitional Administration's capital, Kabul","Afghan Transitional Administration's capital, Austin",Austin
Greece,capital-of,Athens,P1376,"Greece's capital,","Greece's capital, Athens","Greece's capital, Dublin",Dublin
Giorgio Pantano,have-citizenship-of,Italy,P27,"Giorgio Pantano, who has a citizenship of","Giorgio Pantano, who has a citizenship of Italy","Giorgio Pantano, who has a citizenship of India",India
Nathuram Godse,have-citizenship-of,India,P27,Nathuram Godse has a citizenship of,Nathuram Godse has a citizenship of India,Nathuram Godse has a citizenship of Thailand,Thailand
Senkichi Taniguchi,is-citizen-of,Japan,P27,Senkichi Taniguchi is a citizen of,Senkichi Taniguchi is a citizen of Japan,Senkichi Taniguchi is a citizen of Vietnam,Vietnam
Norimoto Yoda,have-citizenship-of,Japan,P27,Norimoto Yoda has a citizenship of,Norimoto Yoda has a citizenship of Japan,Norimoto Yoda has a citizenship of Australia,Australia
Pavel Bure,have-citizenship-of,Russia,P27,Pavel Bure has a citizenship of,Pavel Bure has a citizenship of Russia,Pavel Bure has a citizenship of Switzerland,Switzerland
Shigeki Maruyama,hold-citizenship-of,Japan,P27,Shigeki Maruyama holds a citizenship of,Shigeki Maruyama holds a citizenship of Japan,Shigeki Maruyama holds a citizenship of Iran,Iran
Florent Brard,hold-citizenship-of,France,P27,Florent Brard holds a citizenship of,Florent Brard holds a citizenship of France,Florent Brard holds a citizenship of Canada,Canada
Yasutaka Nakata,is-citizen-of,Japan,P27,Yasutaka Nakata is a citizen of,Yasutaka Nakata is a citizen of Japan,Yasutaka Nakata is a citizen of Canada,Canada
Rick Hansen,have-citizenship-of,Canada,P27,Rick Hansen has a citizenship of,Rick Hansen has a citizenship of Canada,Rick Hansen has a citizenship of Russia,Russia
Kalevi Sorsa,have-citizenship-of,Finland,P27,Kalevi Sorsa has a citizenship of,Kalevi Sorsa has a citizenship of Finland,Kalevi Sorsa has a citizenship of Canada,Canada
Beppe Grillo,is-citizen-of,Italy,P27,Beppe Grillo is a citizen of,Beppe Grillo is a citizen of Italy,Beppe Grillo is a citizen of Taiwan,Taiwan
Bert De Graeve,have-citizenship-of,Belgium,P27,"Bert De Graeve, who has a citizenship of","Bert De Graeve, who has a citizenship of Belgium","Bert De Graeve, who has a citizenship of Argentina",Argentina
Colman mac Duagh,is-citizen-of,Ireland,P27,Colman mac Duagh is a citizen of,Colman mac Duagh is a citizen of Ireland,Colman mac Duagh is a citizen of Greece,Greece
Henri Guilbeaux,is-citizen-of,France,P27,Henri Guilbeaux is a citizen of,Henri Guilbeaux is a citizen of France,Henri Guilbeaux is a citizen of Sweden,Sweden
Pierre Cardin,is-citizen-of,France,P27,Pierre Cardin is a citizen of,Pierre Cardin is a citizen of France,Pierre Cardin is a citizen of Japan,Japan
Bertil Lindblad,citizen-of,Sweden,P27,"Bertil Lindblad, who is a citizen of","Bertil Lindblad, who is a citizen of Sweden","Bertil Lindblad, who is a citizen of Poland",Poland
Gabriel-Marie Garrone,is-citizen-of,France,P27,Gabriel-Marie Garrone is a citizen of,Gabriel-Marie Garrone is a citizen of France,Gabriel-Marie Garrone is a citizen of Ukraine,Ukraine
Ryszard Engelking,have-citizenship-of,Poland,P27,"Ryszard Engelking, who has a citizenship of","Ryszard Engelking, who has a citizenship of Poland","Ryszard Engelking, who has a citizenship of Bangladesh",Bangladesh
Albert Mathiez,hold-citizenship-of,France,P27,"Albert Mathiez, who holds a citizenship of","Albert Mathiez, who holds a citizenship of France","Albert Mathiez, who holds a citizenship of Spain",Spain
Scott Morrison,have-citizenship-of,Australia,P27,Scott Morrison has a citizenship of,Scott Morrison has a citizenship of Australia,Scott Morrison has a citizenship of Poland,Poland
Philippe Leclerc de Hauteclocque,is-citizen-of,France,P27,Philippe Leclerc de Hauteclocque is a citizen of,Philippe Leclerc de Hauteclocque is a citizen of France,Philippe Leclerc de Hauteclocque is a citizen of Iran,Iran
Mahito Tsujimura,hold-citizenship-of,Japan,P27,Mahito Tsujimura holds a citizenship of,Mahito Tsujimura holds a citizenship of Japan,Mahito Tsujimura holds a citizenship of Belgium,Belgium
Henrique Maximiano Coelho Neto,is-citizen-of,Brazil,P27,Henrique Maximiano Coelho Neto is a citizen of,Henrique Maximiano Coelho Neto is a citizen of Brazil,Henrique Maximiano Coelho Neto is a citizen of Taiwan,Taiwan
Kae Araki,have-citizenship-of,Japan,P27,Kae Araki has a citizenship of,Kae Araki has a citizenship of Japan,Kae Araki has a citizenship of Afghanistan,Afghanistan
Lionel Messi,have-citizenship-of,Argentina,P27,"Lionel Messi, who has a citizenship of","Lionel Messi, who has a citizenship of Argentina","Lionel Messi, who has a citizenship of Ireland",Ireland
Jan Machulski,have-citizenship-of,Poland,P27,"Jan Machulski, who has a citizenship of","Jan Machulski, who has a citizenship of Poland","Jan Machulski, who has a citizenship of Australia",Australia
Simone Vagnozzi,have-citizenship-of,Italy,P27,"Simone Vagnozzi, who has a citizenship of","Simone Vagnozzi, who has a citizenship of Italy","Simone Vagnozzi, who has a citizenship of Latvia",Latvia
Ravi Shankar,is-citizen-of,India,P27,Ravi Shankar is a citizen of,Ravi Shankar is a citizen of India,Ravi Shankar is a citizen of Iran,Iran
Sachiko Kobayashi,is-citizen-of,Japan,P27,Sachiko Kobayashi is a citizen of,Sachiko Kobayashi is a citizen of Japan,Sachiko Kobayashi is a citizen of Denmark,Denmark
Alexandre Astruc,is-citizen-of,France,P27,Alexandre Astruc is a citizen of,Alexandre Astruc is a citizen of France,Alexandre Astruc is a citizen of Pakistan,Pakistan
Hiro Matsushita,have-citizenship-of,Japan,P27,Hiro Matsushita has a citizenship of,Hiro Matsushita has a citizenship of Japan,Hiro Matsushita has a citizenship of Turkey,Turkey
Moses Ndiema Masai,is-citizen-of,Kenya,P27,Moses Ndiema Masai is a citizen of,Moses Ndiema Masai is a citizen of Kenya,Moses Ndiema Masai is a citizen of India,India
Peggy Nash,have-citizenship-of,Canada,P27,Peggy Nash has a citizenship of,Peggy Nash has a citizenship of Canada,Peggy Nash has a citizenship of Afghanistan,Afghanistan
K. R. Gowri Amma,have-citizenship-of,India,P27,K. R. Gowri Amma has a citizenship of,K. R. Gowri Amma has a citizenship of India,K. R. Gowri Amma has a citizenship of France,France
Manuel Carrasco,hold-citizenship-of,Spain,P27,"Manuel Carrasco, who holds a citizenship of","Manuel Carrasco, who holds a citizenship of Spain","Manuel Carrasco, who holds a citizenship of Denmark",Denmark
Pankaj Udhas,have-citizenship-of,India,P27,Pankaj Udhas has a citizenship of,Pankaj Udhas has a citizenship of India,Pankaj Udhas has a citizenship of Taiwan,Taiwan
Adriano Celentano,is-citizen-of,Italy,P27,Adriano Celentano is a citizen of,Adriano Celentano is a citizen of Italy,Adriano Celentano is a citizen of France,France
Antonis Samaras,is-citizen-of,Greece,P27,Antonis Samaras is a citizen of,Antonis Samaras is a citizen of Greece,Antonis Samaras is a citizen of Italy,Italy
Riyu Kosaka,is-citizen-of,Japan,P27,Riyu Kosaka is a citizen of,Riyu Kosaka is a citizen of Japan,Riyu Kosaka is a citizen of Thailand,Thailand
Marcin Libicki,is-citizen-of,Poland,P27,Marcin Libicki is a citizen of,Marcin Libicki is a citizen of Poland,Marcin Libicki is a citizen of Japan,Japan
Tomasz Kamusella,is-citizen-of,Poland,P27,Tomasz Kamusella is a citizen of,Tomasz Kamusella is a citizen of Poland,Tomasz Kamusella is a citizen of Sweden,Sweden
Haseeb Ahsan,have-citizenship-of,Pakistan,P27,"Haseeb Ahsan, who has a citizenship of","Haseeb Ahsan, who has a citizenship of Pakistan","Haseeb Ahsan, who has a citizenship of Italy",Italy
Thanh Lam,is-citizen-of,Vietnam,P27,Thanh Lam is a citizen of,Thanh Lam is a citizen of Vietnam,Thanh Lam is a citizen of France,France
Michel Houellebecq,is-citizen-of,France,P27,Michel Houellebecq is a citizen of,Michel Houellebecq is a citizen of France,Michel Houellebecq is a citizen of Singapore,Singapore
Hasibul Hossain,is-citizen-of,Bangladesh,P27,Hasibul Hossain is a citizen of,Hasibul Hossain is a citizen of Bangladesh,Hasibul Hossain is a citizen of Poland,Poland
Shadi Sadr,have-citizenship-of,Iran,P27,"Shadi Sadr, who has a citizenship of","Shadi Sadr, who has a citizenship of Iran","Shadi Sadr, who has a citizenship of Norway",Norway
Shanta Kumar,have-citizenship-of,India,P27,Shanta Kumar has a citizenship of,Shanta Kumar has a citizenship of India,Shanta Kumar has a citizenship of Morocco,Morocco
Jean-Baptiste Lamy,is-citizen-of,France,P27,Jean-Baptiste Lamy is a citizen of,Jean-Baptiste Lamy is a citizen of France,Jean-Baptiste Lamy is a citizen of Denmark,Denmark
Prasanna,have-citizenship-of,India,P27,Prasanna has a citizenship of,Prasanna has a citizenship of India,Prasanna has a citizenship of Norway,Norway
Oscar Drouin,have-citizenship-of,Canada,P27,Oscar Drouin has a citizenship of,Oscar Drouin has a citizenship of Canada,Oscar Drouin has a citizenship of Israel,Israel
Sugandha Garg,have-citizenship-of,India,P27,Sugandha Garg has a citizenship of,Sugandha Garg has a citizenship of India,Sugandha Garg has a citizenship of Switzerland,Switzerland
Szymon Szymonowic,is-citizen-of,Poland,P27,Szymon Szymonowic is a citizen of,Szymon Szymonowic is a citizen of Poland,Szymon Szymonowic is a citizen of Romania,Romania
Gianni Lancia,have-citizenship-of,Italy,P27,Gianni Lancia has a citizenship of,Gianni Lancia has a citizenship of Italy,Gianni Lancia has a citizenship of Belgium,Belgium
Brad Gushue,have-citizenship-of,Canada,P27,Brad Gushue has a citizenship of,Brad Gushue has a citizenship of Canada,Brad Gushue has a citizenship of Switzerland,Switzerland
Hsieh Cheng-peng,is-citizen-of,Taiwan,P27,Hsieh Cheng-peng is a citizen of,Hsieh Cheng-peng is a citizen of Taiwan,Hsieh Cheng-peng is a citizen of Afghanistan,Afghanistan
Subodh Kant Sahay,is-citizen-of,India,P27,Subodh Kant Sahay is a citizen of,Subodh Kant Sahay is a citizen of India,Subodh Kant Sahay is a citizen of Greece,Greece
Scott Brison,have-citizenship-of,Canada,P27,Scott Brison has a citizenship of,Scott Brison has a citizenship of Canada,Scott Brison has a citizenship of Denmark,Denmark
Jithan Ramesh,is-citizen-of,India,P27,Jithan Ramesh is a citizen of,Jithan Ramesh is a citizen of India,Jithan Ramesh is a citizen of Ukraine,Ukraine
Minamoto no Yoshinaka,hold-citizenship-of,Japan,P27,Minamoto no Yoshinaka holds a citizenship of,Minamoto no Yoshinaka holds a citizenship of Japan,Minamoto no Yoshinaka holds a citizenship of Canada,Canada
Sakichi Toyoda,hold-citizenship-of,Japan,P27,Sakichi Toyoda holds a citizenship of,Sakichi Toyoda holds a citizenship of Japan,Sakichi Toyoda holds a citizenship of Turkey,Turkey
Ho Chi Minh,have-citizenship-of,Vietnam,P27,"Ho Chi Minh, who has a citizenship of","Ho Chi Minh, who has a citizenship of Vietnam","Ho Chi Minh, who has a citizenship of Argentina",Argentina
Henrik Zetterberg,have-citizenship-of,Sweden,P27,"Henrik Zetterberg, who has a citizenship of","Henrik Zetterberg, who has a citizenship of Sweden","Henrik Zetterberg, who has a citizenship of Canada",Canada
Thomas Ong,have-citizenship-of,Singapore,P27,"Thomas Ong, who has a citizenship of","Thomas Ong, who has a citizenship of Singapore","Thomas Ong, who has a citizenship of Canada",Canada
Madan Lal,have-citizenship-of,India,P27,Madan Lal has a citizenship of,Madan Lal has a citizenship of India,Madan Lal has a citizenship of Australia,Australia
Dawid Janowski,have-citizenship-of,Poland,P27,"Dawid Janowski, who has a citizenship of","Dawid Janowski, who has a citizenship of Poland","Dawid Janowski, who has a citizenship of Canada",Canada
Charles de Salaberry,have-citizenship-of,Canada,P27,Charles de Salaberry has a citizenship of,Charles de Salaberry has a citizenship of Canada,Charles de Salaberry has a citizenship of Australia,Australia
Mehmet Ali Aybar,is-citizen-of,Turkey,P27,Mehmet Ali Aybar is a citizen of,Mehmet Ali Aybar is a citizen of Turkey,Mehmet Ali Aybar is a citizen of Finland,Finland
Sadeq Larijani,citizen-of,Iran,P27,"Sadeq Larijani, a citizen of","Sadeq Larijani, a citizen of Iran","Sadeq Larijani, a citizen of Bangladesh",Bangladesh
Monica Niculescu,is-citizen-of,Romania,P27,Monica Niculescu is a citizen of,Monica Niculescu is a citizen of Romania,Monica Niculescu is a citizen of Pakistan,Pakistan
Vita Semerenko,have-citizenship-of,Ukraine,P27,"Vita Semerenko, who has a citizenship of","Vita Semerenko, who has a citizenship of Ukraine","Vita Semerenko, who has a citizenship of Australia",Australia
Ada Yonath,hold-citizenship-of,Israel,P27,"Ada Yonath, who holds a citizenship of","Ada Yonath, who holds a citizenship of Israel","Ada Yonath, who holds a citizenship of Bangladesh",Bangladesh
Henri Maurice Berteaux,is-citizen-of,France,P27,Henri Maurice Berteaux is a citizen of,Henri Maurice Berteaux is a citizen of France,Henri Maurice Berteaux is a citizen of Afghanistan,Afghanistan
Kazimierz Makarczyk,is-citizen-of,Poland,P27,Kazimierz Makarczyk is a citizen of,Kazimierz Makarczyk is a citizen of Poland,Kazimierz Makarczyk is a citizen of Argentina,Argentina
Bernard Lietaer,have-citizenship-of,Belgium,P27,"Bernard Lietaer, who has a citizenship of","Bernard Lietaer, who has a citizenship of Belgium","Bernard Lietaer, who has a citizenship of Israel",Israel
Stephen Worobetz,have-citizenship-of,Canada,P27,Stephen Worobetz has a citizenship of,Stephen Worobetz has a citizenship of Canada,Stephen Worobetz has a citizenship of Switzerland,Switzerland
Jean Bobet,citizen-of,France,P27,"Jean Bobet, who is a citizen of","Jean Bobet, who is a citizen of France","Jean Bobet, who is a citizen of Italy",Italy
Paul Duchesnay,hold-citizenship-of,France,P27,Paul Duchesnay holds a citizenship of,Paul Duchesnay holds a citizenship of France,Paul Duchesnay holds a citizenship of Canada,Canada
Katsuhiko Nagata,is-citizen-of,Japan,P27,Katsuhiko Nagata is a citizen of,Katsuhiko Nagata is a citizen of Japan,Katsuhiko Nagata is a citizen of Vietnam,Vietnam
Mahavira,have-citizenship-of,India,P27,Mahavira has a citizenship of,Mahavira has a citizenship of India,Mahavira has a citizenship of Kenya,Kenya
Bimal Roy,have-citizenship-of,India,P27,Bimal Roy has a citizenship of,Bimal Roy has a citizenship of India,Bimal Roy has a citizenship of Kenya,Kenya
Idris I of Morocco,have-citizenship-of,Morocco,P27,Idris I of Morocco has a citizenship of,Idris I of Morocco has a citizenship of Morocco,Idris I of Morocco has a citizenship of Canada,Canada
Paavo Haavikko,is-citizen-of,Finland,P27,Paavo Haavikko is a citizen of,Paavo Haavikko is a citizen of Finland,Paavo Haavikko is a citizen of Argentina,Argentina
Ken Okuyama,is-citizen-of,Japan,P27,Ken Okuyama is a citizen of,Ken Okuyama is a citizen of Japan,Ken Okuyama is a citizen of Argentina,Argentina
Jean Victor Marie Moreau,is-citizen-of,France,P27,Jean Victor Marie Moreau is a citizen of,Jean Victor Marie Moreau is a citizen of France,Jean Victor Marie Moreau is a citizen of Egypt,Egypt
Jaishankar,have-citizenship-of,India,P27,Jaishankar has a citizenship of,Jaishankar has a citizenship of India,Jaishankar has a citizenship of Morocco,Morocco
Jean-Pierre Van Rossem,have-citizenship-of,Belgium,P27,"Jean-Pierre Van Rossem, who has a citizenship of","Jean-Pierre Van Rossem, who has a citizenship of Belgium","Jean-Pierre Van Rossem, who has a citizenship of Israel",Israel
Matsukata Masayoshi,have-citizenship-of,Japan,P27,Matsukata Masayoshi has a citizenship of,Matsukata Masayoshi has a citizenship of Japan,Matsukata Masayoshi has a citizenship of Egypt,Egypt
Abolfazl Jalili,is-citizen-of,Iran,P27,Abolfazl Jalili is a citizen of,Abolfazl Jalili is a citizen of Iran,Abolfazl Jalili is a citizen of Ireland,Ireland
