subject,rel_lemma,object,rel_p_id,query,prompt,model_output
Leslie Morris,have-citizenship-of,Canada,P27,Leslie Morris has a citizenship of,"Complete the sentence. Answer with one word. ""Leslie Morris has a citizenship of""",Canada
Izzy Asper,have-citizenship-of,Canada,P27,Izzy Asper has a citizenship of,"Complete the sentence. Answer with one word. ""Izzy Asper has a citizenship of""",Canadian
Ahmad Nadeem Qasmi,have-citizenship-of,Pakistan,P27,"Ahmad Nadeem Qasmi, who has a citizenship of","Complete the sentence. Answer with one word. ""Ahmad Nadeem Qasmi, who has a citizenship of""",Pakistan
Jakub Kubicki,is-citizen-of,Poland,P27,Jakub Kubicki is a citizen of,"Complete the sentence. Answer with one word. ""Jakub Kubicki is a citizen of""",Poland
Albert Hofmann,citizen-of,Switzerland,P27,"Albert Hofmann, a citizen of","Complete the sentence. Answer with one word. ""Albert Hofmann, a citizen of""",Switzerland
Chula Chakrabongse,have-citizenship-of,Thailand,P27,"Chula Chakrabongse, who has a citizenship of","Complete the sentence. Answer with one word. ""Chula Chakrabongse, who has a citizenship of""",Thailand
Scott Frandsen,have-citizenship-of,Canada,P27,Scott Frandsen has a citizenship of,"Complete the sentence. Answer with one word. ""Scott Frandsen has a citizenship of""",Canada
Masahiko Nishimura,hold-citizenship-of,Japan,P27,Masahiko Nishimura holds a citizenship of,"Complete the sentence. Answer with one word. ""Masahiko Nishimura holds a citizenship of""",Japan
Wakako Tsuchida,have-citizenship-of,Japan,P27,Wakako Tsuchida has a citizenship of,"Complete the sentence. Answer with one word. ""Wakako Tsuchida has a citizenship of""",Japan
Magnar Solberg,citizen-of,Norway,P27,"Magnar Solberg, a citizen of","Complete the sentence. Answer with one word. ""Magnar Solberg, a citizen of""",Norway
Luigi Lanzi,hold-citizenship-of,Italy,P27,"Luigi Lanzi, who holds a citizenship of","Complete the sentence. Answer with one word. ""Luigi Lanzi, who holds a citizenship of""",Italy
Eiko Shimamiya,hold-citizenship-of,Japan,P27,Eiko Shimamiya holds a citizenship of,"Complete the sentence. Answer with one word. ""Eiko Shimamiya holds a citizenship of""",Japan
Kimio Yanagisawa,is-citizen-of,Japan,P27,Kimio Yanagisawa is a citizen of,"Complete the sentence. Answer with one word. ""Kimio Yanagisawa is a citizen of""",Japan
Bhaktisiddhanta Saraswati,have-citizenship-of,India,P27,Bhaktisiddhanta Saraswati has a citizenship of,"Complete the sentence. Answer with one word. ""Bhaktisiddhanta Saraswati has a citizenship of""",India
Dilma Rousseff,have-citizenship-of,Brazil,P27,"Dilma Rousseff, who has a citizenship of","Complete the sentence. Answer with one word. ""Dilma Rousseff, who has a citizenship of""",Brazil
Maud Olofsson,is-citizen-of,Sweden,P27,Maud Olofsson is a citizen of,"Complete the sentence. Answer with one word. ""Maud Olofsson is a citizen of""",Sweden
Kazimierz Nycz,is-citizen-of,Poland,P27,Kazimierz Nycz is a citizen of,"Complete the sentence. Answer with one word. ""Kazimierz Nycz is a citizen of""",Poland
Jennifer Heil,have-citizenship-of,Canada,P27,Jennifer Heil has a citizenship of,"Complete the sentence. Answer with one word. ""Jennifer Heil has a citizenship of""",Canada
Giorgia,have-citizenship-of,Italy,P27,Giorgia has a citizenship of,"Complete the sentence. Answer with one word. ""Giorgia has a citizenship of""",Italy
Paolo Chiavenna,is-citizen-of,Italy,P27,Paolo Chiavenna is a citizen of,"Complete the sentence. Answer with one word. ""Paolo Chiavenna is a citizen of""",Italy
Habib el-Adly,citizen-of,Egypt,P27,"Habib el-Adly, a citizen of","Complete the sentence. Answer with one word. ""Habib el-Adly, a citizen of""",Egypt
Sachimi Iwao,is-citizen-of,Japan,P27,Sachimi Iwao is a citizen of,"Complete the sentence. Answer with one word. ""Sachimi Iwao is a citizen of""",Japan
Harumi Inoue,hold-citizenship-of,Japan,P27,Harumi Inoue holds a citizenship of,"Complete the sentence. Answer with one word. ""Harumi Inoue holds a citizenship of""",Japan
Mateo Gil,have-citizenship-of,Spain,P27,"Mateo Gil, who has a citizenship of","Complete the sentence. Answer with one word. ""Mateo Gil, who has a citizenship of""",Spain
Rokkaku Yoshikata,hold-citizenship-of,Japan,P27,Rokkaku Yoshikata holds a citizenship of,"Complete the sentence. Answer with one word. ""Rokkaku Yoshikata holds a citizenship of""",Japan
Alireza Eftekhari,is-citizen-of,Iran,P27,Alireza Eftekhari is a citizen of,"Complete the sentence. Answer with one word. ""Alireza Eftekhari is a citizen of""",Iran
Hiroshi Teshigahara,have-citizenship-of,Japan,P27,Hiroshi Teshigahara has a citizenship of,"Complete the sentence. Answer with one word. ""Hiroshi Teshigahara has a citizenship of""",Japan
Farley Mowat,hold-citizenship-of,Canada,P27,Farley Mowat holds a citizenship of,"Complete the sentence. Answer with one word. ""Farley Mowat holds a citizenship of""",Canada
Rajeev Chandrasekhar,is-citizen-of,India,P27,Rajeev Chandrasekhar is a citizen of,"Complete the sentence. Answer with one word. ""Rajeev Chandrasekhar is a citizen of""",India
Aleksejs Saramotins,is-citizen-of,Latvia,P27,Aleksejs Saramotins is a citizen of,"Complete the sentence. Answer with one word. ""Aleksejs Saramotins is a citizen of""",Latvia
Qazi Hussain Ahmad,have-citizenship-of,Pakistan,P27,"Qazi Hussain Ahmad, who has a citizenship of","Complete the sentence. Answer with one word. ""Qazi Hussain Ahmad, who has a citizenship of""",Pakistan
Gopaldas Neeraj,have-citizenship-of,India,P27,Gopaldas Neeraj has a citizenship of,"Complete the sentence. Answer with one word. ""Gopaldas Neeraj has a citizenship of""",India
Yoshio Shirai,have-citizenship-of,Japan,P27,Yoshio Shirai has a citizenship of,"Complete the sentence. Answer with one word. ""Yoshio Shirai has a citizenship of""",Japan
Mateo Garralda,have-citizenship-of,Spain,P27,"Mateo Garralda, who has a citizenship of","Complete the sentence. Answer with one word. ""Mateo Garralda, who has a citizenship of""",Spain
Andrei Soldatov,citizen-of,Russia,P27,"Andrei Soldatov, who is a citizen of","Complete the sentence. Answer with one word. ""Andrei Soldatov, who is a citizen of""",Russia
Guillaume-Antoine Olivier,is-citizen-of,France,P27,Guillaume-Antoine Olivier is a citizen of,"Complete the sentence. Answer with one word. ""Guillaume-Antoine Olivier is a citizen of""",France
Thiago Soares Alves,is-citizen-of,Brazil,P27,Thiago Soares Alves is a citizen of,"Complete the sentence. Answer with one word. ""Thiago Soares Alves is a citizen of""",Brazil
Mohsen Mirdamadi,is-citizen-of,Iran,P27,Mohsen Mirdamadi is a citizen of,"Complete the sentence. Answer with one word. ""Mohsen Mirdamadi is a citizen of""",Iran
Matt Brouwer,have-citizenship-of,Canada,P27,Matt Brouwer has a citizenship of,"Complete the sentence. Answer with one word. ""Matt Brouwer has a citizenship of""",Canada
Antonio Banfi,hold-citizenship-of,Italy,P27,"Antonio Banfi, who holds a citizenship of","Complete the sentence. Answer with one word. ""Antonio Banfi, who holds a citizenship of""",Italy
Heikki Saari,is-citizen-of,Finland,P27,Heikki Saari is a citizen of,"Complete the sentence. Answer with one word. ""Heikki Saari is a citizen of""",Finland
Lefteris Papadopoulos,citizen-of,Greece,P27,"Lefteris Papadopoulos, a citizen of","Complete the sentence. Answer with one word. ""Lefteris Papadopoulos, a citizen of""",Greece
Sukhdev Thapar,is-citizen-of,India,P27,Sukhdev Thapar is a citizen of,"Complete the sentence. Answer with one word. ""Sukhdev Thapar is a citizen of""",India
Kenta Fukasaku,hold-citizenship-of,Japan,P27,Kenta Fukasaku holds a citizenship of,"Complete the sentence. Answer with one word. ""Kenta Fukasaku holds a citizenship of""",Japan
Henryk Sienkiewicz,citizen-of,Poland,P27,"Henryk Sienkiewicz, who is a citizen of","Complete the sentence. Answer with one word. ""Henryk Sienkiewicz, who is a citizen of""",Poland
Masaccio,citizen-of,Italy,P27,"Masaccio, who is a citizen of","Complete the sentence. Answer with one word. ""Masaccio, who is a citizen of""",Florence
Juliusz Gardan,have-citizenship-of,Poland,P27,"Juliusz Gardan, who has a citizenship of","Complete the sentence. Answer with one word. ""Juliusz Gardan, who has a citizenship of""",Poland
Rangsit Prayurasakdi,is-citizen-of,Thailand,P27,Rangsit Prayurasakdi is a citizen of,"Complete the sentence. Answer with one word. ""Rangsit Prayurasakdi is a citizen of""",Thailand
Paolo Martin,have-citizenship-of,Italy,P27,"Paolo Martin, who has a citizenship of","Complete the sentence. Answer with one word. ""Paolo Martin, who has a citizenship of""",Italy
Koichi Kobayashi,is-citizen-of,Japan,P27,Koichi Kobayashi is a citizen of,"Complete the sentence. Answer with one word. ""Koichi Kobayashi is a citizen of""",Japan
Lucien Van Impe,have-citizenship-of,Belgium,P27,"Lucien Van Impe, who has a citizenship of","Complete the sentence. Answer with one word. ""Lucien Van Impe, who has a citizenship of""",Belgium
Ikki Kajiwara,is-citizen-of,Japan,P27,Ikki Kajiwara is a citizen of,"Complete the sentence. Answer with one word. ""Ikki Kajiwara is a citizen of""",Japan
Nandan Nilekani,is-citizen-of,India,P27,Nandan Nilekani is a citizen of,"Complete the sentence. Answer with one word. ""Nandan Nilekani is a citizen of""",India
"Pavlos, Crown Prince of Greece",hold-citizenship-of,Greece,P27,"Pavlos, Crown Prince of Greece holds a citizenship of","Complete the sentence. Answer with one word. ""Pavlos, Crown Prince of Greece holds a citizenship of""",Greece
Kazi Nazrul Islam,citizen-of,Bangladesh,P27,"Kazi Nazrul Islam, a citizen of","Complete the sentence. Answer with one word. ""Kazi Nazrul Islam, a citizen of""",Bangladesh
Ambar Roy,have-citizenship-of,India,P27,Ambar Roy has a citizenship of,"Complete the sentence. Answer with one word. ""Ambar Roy has a citizenship of""",India
Ely Guerra,citizen-of,Mexico,P27,"Ely Guerra, who is a citizen of","Complete the sentence. Answer with one word. ""Ely Guerra, who is a citizen of""",Mexico
Arvid Lindman,citizen-of,Sweden,P27,"Arvid Lindman, who is a citizen of","Complete the sentence. Answer with one word. ""Arvid Lindman, who is a citizen of""",Sweden
Kumiko Ogura,have-citizenship-of,Japan,P27,Kumiko Ogura has a citizenship of,"Complete the sentence. Answer with one word. ""Kumiko Ogura has a citizenship of""",Japan
Kaka Hathrasi,have-citizenship-of,India,P27,Kaka Hathrasi has a citizenship of,"Complete the sentence. Answer with one word. ""Kaka Hathrasi has a citizenship of""",India
Sola Aoi,have-citizenship-of,Japan,P27,Sola Aoi has a citizenship of,"Complete the sentence. Answer with one word. ""Sola Aoi has a citizenship of""",Japan
Wanda Rutkiewicz,have-citizenship-of,Poland,P27,"Wanda Rutkiewicz, who has a citizenship of","Complete the sentence. Answer with one word. ""Wanda Rutkiewicz, who has a citizenship of""",Poland
Giovanni Lista,have-citizenship-of,Italy,P27,"Giovanni Lista, who has a citizenship of","Complete the sentence. Answer with one word. ""Giovanni Lista, who has a citizenship of""",Italy
Gustave Flourens,is-citizen-of,France,P27,Gustave Flourens is a citizen of,"Complete the sentence. Answer with one word. ""Gustave Flourens is a citizen of""",France
Michel Aoun,have-citizenship-of,Lebanon,P27,Michel Aoun has a citizenship of,"Complete the sentence. Answer with one word. ""Michel Aoun has a citizenship of""",Lebanon
Poonam Sinha,have-citizenship-of,India,P27,Poonam Sinha has a citizenship of,"Complete the sentence. Answer with one word. ""Poonam Sinha has a citizenship of""",India
Bibi Andersson,is-citizen-of,Sweden,P27,Bibi Andersson is a citizen of,"Complete the sentence. Answer with one word. ""Bibi Andersson is a citizen of""",Sweden
Priyanka Vadra,have-citizenship-of,India,P27,Priyanka Vadra has a citizenship of,"Complete the sentence. Answer with one word. ""Priyanka Vadra has a citizenship of""",India
Agnieszka Osiecka,is-citizen-of,Poland,P27,Agnieszka Osiecka is a citizen of,"Complete the sentence. Answer with one word. ""Agnieszka Osiecka is a citizen of""",Poland
Cystic fibrosis transmembrane conductance regulator,is-subclass,protein,P279,"Cystic fibrosis transmembrane conductance regulator,  a type of","Complete the sentence. Answer with one word. ""Cystic fibrosis transmembrane conductance regulator,  a type of""",channel
labour economics,is-subclass,economics,P279,"labour economics,  a subclass of","Complete the sentence. Answer with one word. ""labour economics,  a subclass of""",economics
American English,is-subclass,English,P279,American English is a subclass of,"Complete the sentence. Answer with one word. ""American English is a subclass of""",English
Transferrin,is-subclass,protein,P279,"Transferrin,  a type of","Complete the sentence. Answer with one word. ""Transferrin,  a type of""",protein
Jaffa Cakes,is-subclass,cake,P279,"Jaffa Cakes,  a type of","Complete the sentence. Answer with one word. ""Jaffa Cakes,  a type of""",cake
hospital-acquired infection,is-subclass,infection,P279,"hospital-acquired infection,  a type of","Complete the sentence. Answer with one word. ""hospital-acquired infection,  a type of""",infection
softcore pornography,is-subclass,pornography,P279,"softcore pornography,  a type of","Complete the sentence. Answer with one word. ""softcore pornography,  a type of""",pornography
isomerase,is-subclass,enzyme,P279,"isomerase,  a type of","Complete the sentence. Answer with one word. ""isomerase,  a type of""",enzyme
rechargeable battery,is-subclass,battery,P279,"rechargeable battery,  a type of","Complete the sentence. Answer with one word. ""rechargeable battery,  a type of""",battery
Ponzi scheme,is-subclass,fraud,P279,"Ponzi scheme,  a type of","Complete the sentence. Answer with one word. ""Ponzi scheme,  a type of""",fraud
United States H-class submarine,is-subclass,submarine,P279,"United States H-class submarine,  a type of","Complete the sentence. Answer with one word. ""United States H-class submarine,  a type of""",submarine
Supersynchronous orbit,is-subclass,orbit,P279,"Supersynchronous orbit,  a type of","Complete the sentence. Answer with one word. ""Supersynchronous orbit,  a type of""",geosynchronous
Toyota SA,is-subclass,car,P279,"Toyota SA,  a type of","Complete the sentence. Answer with one word. ""Toyota SA,  a type of""",car
culinary art,is-subclass,art,P279,"culinary art,  a type of","Complete the sentence. Answer with one word. ""culinary art,  a type of""",art
classical physics,is-subclass,physics,P279,"classical physics,  a type of","Complete the sentence. Answer with one word. ""classical physics,  a type of""",physics
cupcake,is-subclass,cake,P279,"cupcake,  a type of","Complete the sentence. Answer with one word. ""cupcake,  a type of""",cake
Champagne,is-subclass,wine,P279,"Champagne,  a type of","Complete the sentence. Answer with one word. ""Champagne,  a type of""",wine
mainstream jazz,is-subclass,jazz,P279,"mainstream jazz,  a subclass of","Complete the sentence. Answer with one word. ""mainstream jazz,  a subclass of""",jazz
English verb,is-subclass,verb,P279,"English verb,  a type of","Complete the sentence. Answer with one word. ""English verb,  a type of""",word
Czech wine,is-subclass,wine,P279,Czech wine is a subclass of,"Complete the sentence. Answer with one word. ""Czech wine is a subclass of""",wine
Wellington boot,is-subclass,boot,P279,"Wellington boot,  a type of","Complete the sentence. Answer with one word. ""Wellington boot,  a type of""",boot
California-style pizza,is-subclass,pizza,P279,"California-style pizza,  a type of","Complete the sentence. Answer with one word. ""California-style pizza,  a type of""",pizza
viral protein,is-subclass,protein,P279,"viral protein,  a type of","Complete the sentence. Answer with one word. ""viral protein,  a type of""",protein
Inhibitor of apoptosis domain,is-subclass,protein,P279,"Inhibitor of apoptosis domain,  a type of","Complete the sentence. Answer with one word. ""Inhibitor of apoptosis domain,  a type of""",domain
sphenoid bone,is-subclass,bone,P279,"sphenoid bone,  a type of","Complete the sentence. Answer with one word. ""sphenoid bone,  a type of""",bone
Agritourism,is-subclass,tourism,P279,"Agritourism,  a type of","Complete the sentence. Answer with one word. ""Agritourism,  a type of""",tourism
folk art,is-subclass,art,P279,"folk art,  a type of","Complete the sentence. Answer with one word. ""folk art,  a type of""",art
Cyclin dependent kinase 4,is-subclass,protein,P279,"Cyclin dependent kinase 4,  a type of","Complete the sentence. Answer with one word. ""Cyclin dependent kinase 4,  a type of""",enzyme
analog television,is-subclass,television,P279,"analog television,  a type of","Complete the sentence. Answer with one word. ""analog television,  a type of""",television
Tambor-class submarine,is-subclass,submarine,P279,"Tambor-class submarine,  a type of","Complete the sentence. Answer with one word. ""Tambor-class submarine,  a type of""",submarine
Bullmastiff,is-subclass,dog,P279,"Bullmastiff,  a type of","Complete the sentence. Answer with one word. ""Bullmastiff,  a type of""",dog
bridge–tunnel,is-subclass,tunnel,P279,"bridge–tunnel,  a type of","Complete the sentence. Answer with one word. ""bridge–tunnel,  a type of""",crossing
Middle Dutch,is-subclass,Dutch,P279,Middle Dutch is a subclass of,"Complete the sentence. Answer with one word. ""Middle Dutch is a subclass of""",Dutch
BCG vaccine,is-subclass,vaccine,P279,"BCG vaccine,  a type of","Complete the sentence. Answer with one word. ""BCG vaccine,  a type of""",vaccine
landscape ecology,is-subclass,ecology,P279,"landscape ecology, which is a subclass of","Complete the sentence. Answer with one word. ""landscape ecology, which is a subclass of""",ecology
British L-class submarine,is-subclass,submarine,P279,"British L-class submarine,  a type of","Complete the sentence. Answer with one word. ""British L-class submarine,  a type of""",submarine
character actor,is-subclass,actor,P279,"character actor,  a type of","Complete the sentence. Answer with one word. ""character actor,  a type of""",actor
Integrin subunit alpha 3,is-subclass,protein,P279,"Integrin subunit alpha 3,  a type of","Complete the sentence. Answer with one word. ""Integrin subunit alpha 3,  a type of""",integrin
ATP binding cassette subfamily B member 1,is-subclass,protein,P279,"ATP binding cassette subfamily B member 1,  a type of","Complete the sentence. Answer with one word. ""ATP binding cassette subfamily B member 1,  a type of""",transporter
verbal noun,is-subclass,noun,P279,"verbal noun,  a subclass of","Complete the sentence. Answer with one word. ""verbal noun,  a subclass of""",noun
multi-purpose stadium,is-subclass,stadium,P279,"multi-purpose stadium,  a type of","Complete the sentence. Answer with one word. ""multi-purpose stadium,  a type of""",stadium
B-type asteroid,is-subclass,asteroid,P279,"B-type asteroid,  a type of","Complete the sentence. Answer with one word. ""B-type asteroid,  a type of""",carbonaceous
management accounting,is-subclass,accounting,P279,"management accounting,  a type of","Complete the sentence. Answer with one word. ""management accounting,  a type of""",accounting
Australian Shepherd,is-subclass,dog,P279,"Australian Shepherd,  a type of","Complete the sentence. Answer with one word. ""Australian Shepherd,  a type of""",dog
personal defense weapon,is-subclass,firearm,P279,"personal defense weapon,  a type of","Complete the sentence. Answer with one word. ""personal defense weapon,  a type of""",firearm
Pony car,is-subclass,car,P279,Pony car is a subclass of,"Complete the sentence. Answer with one word. ""Pony car is a subclass of""",musclecar
computer font,is-subclass,font,P279,"computer font,  a type of","Complete the sentence. Answer with one word. ""computer font,  a type of""",typeface
CD19 molecule,is-subclass,protein,P279,"CD19 molecule,  a type of","Complete the sentence. Answer with one word. ""CD19 molecule,  a type of""",glycoprotein
multiplication algorithm,is-subclass,algorithm,P279,"multiplication algorithm,  a type of","Complete the sentence. Answer with one word. ""multiplication algorithm,  a type of""",algorithm
Rapakivi granite,is-subclass,granite,P279,"Rapakivi granite,  a type of","Complete the sentence. Answer with one word. ""Rapakivi granite,  a type of""",granite
complex volcano,is-subclass,volcano,P279,"complex volcano,  a type of","Complete the sentence. Answer with one word. ""complex volcano,  a type of""",volcano
beam bridge,is-subclass,bridge,P279,"beam bridge,  a type of","Complete the sentence. Answer with one word. ""beam bridge,  a type of""",bridge
Mucolipin 1,is-subclass,protein,P279,"Mucolipin 1,  a type of","Complete the sentence. Answer with one word. ""Mucolipin 1,  a type of""",channel
chocolate cake,is-subclass,cake,P279,"chocolate cake,  a type of","Complete the sentence. Answer with one word. ""chocolate cake,  a type of""",cake
G and H-class destroyer,is-subclass,destroyer,P279,"G and H-class destroyer,  a type of","Complete the sentence. Answer with one word. ""G and H-class destroyer,  a type of""",destroyer
action film,is-subclass,film,P279,"action film,  a type of","Complete the sentence. Answer with one word. ""action film,  a type of""",film
advanced mathematics,is-subclass,mathematics,P279,"advanced mathematics,  a subclass of","Complete the sentence. Answer with one word. ""advanced mathematics,  a subclass of""",mathematics
working dog,is-subclass,dog,P279,"working dog,  a type of","Complete the sentence. Answer with one word. ""working dog,  a type of""",dog
steel guitar,is-subclass,guitar,P279,"steel guitar,  a type of","Complete the sentence. Answer with one word. ""steel guitar,  a type of""",guitar
high fantasy,is-subclass,fantasy,P279,"high fantasy,  a type of","Complete the sentence. Answer with one word. ""high fantasy,  a type of""",fantasy
fuel pump,is-subclass,pump,P279,"fuel pump,  a subclass of","Complete the sentence. Answer with one word. ""fuel pump,  a subclass of""",pump
Russia leather,is-subclass,leather,P279,Russia leather is a subclass of,"Complete the sentence. Answer with one word. ""Russia leather is a subclass of""",leather
metropolitan municipality in Turkey,is-subclass,municipality,P279,"metropolitan municipality in Turkey,  a type of","Complete the sentence. Answer with one word. ""metropolitan municipality in Turkey,  a type of""",municipality
mechanical television,is-subclass,television,P279,"mechanical television,  a type of","Complete the sentence. Answer with one word. ""mechanical television,  a type of""",television
grand jury,is-subclass,jury,P279,"grand jury,  a type of","Complete the sentence. Answer with one word. ""grand jury,  a type of""",jury
Light Observation Helicopter,is-subclass,helicopter,P279,"Light Observation Helicopter,  a type of","Complete the sentence. Answer with one word. ""Light Observation Helicopter,  a type of""",helicopter
sociology of education,is-subclass,sociology,P279,"sociology of education, which is a subclass of","Complete the sentence. Answer with one word. ""sociology of education, which is a subclass of""",sociology
derecho,is-subclass,storm,P279,"derecho,  a type of","Complete the sentence. Answer with one word. ""derecho,  a type of""",storm
Progress-M,is-subclass,Progress,P279,Progress-M is a subclass of,"Complete the sentence. Answer with one word. ""Progress-M is a subclass of""",Progress
Indian bread,is-subclass,bread,P279,"Indian bread,  a subclass of","Complete the sentence. Answer with one word. ""Indian bread,  a subclass of""",flatbread
Bone morphogenetic protein 4,is-subclass,protein,P279,"Bone morphogenetic protein 4,  a type of","Complete the sentence. Answer with one word. ""Bone morphogenetic protein 4,  a type of""",cytokine
benefit corporation,is-subclass,corporation,P279,"benefit corporation,  a type of","Complete the sentence. Answer with one word. ""benefit corporation,  a type of""",corporation
Eindhoven Marathon,is-subclass,marathon,P279,"Eindhoven Marathon,  a type of","Complete the sentence. Answer with one word. ""Eindhoven Marathon,  a type of""",race
Smoke grenade,is-subclass,grenade,P279,Smoke grenade is a subclass of,"Complete the sentence. Answer with one word. ""Smoke grenade is a subclass of""",grenade
Park golf,is-subclass,golf,P279,"Park golf,  a subclass of","Complete the sentence. Answer with one word. ""Park golf,  a subclass of""",golf
animal ethics,is-subclass,ethics,P279,"animal ethics,  a subclass of","Complete the sentence. Answer with one word. ""animal ethics,  a subclass of""",ethics
Eosinophil peroxidase,is-subclass,protein,P279,"Eosinophil peroxidase,  a type of","Complete the sentence. Answer with one word. ""Eosinophil peroxidase,  a type of""",enzyme
Mil Mi-28,is-subclass,helicopter,P279,"Mil Mi-28,  a type of","Complete the sentence. Answer with one word. ""Mil Mi-28,  a type of""",helicopter
Mandarin Chinese,is-subclass,Chinese,P279,Mandarin Chinese is a subclass of,"Complete the sentence. Answer with one word. ""Mandarin Chinese is a subclass of""",Chinese
cultural feminism,is-subclass,feminism,P279,"cultural feminism,  a type of","Complete the sentence. Answer with one word. ""cultural feminism,  a type of""",feminism
double track,is-subclass,track,P279,double track is a subclass of,"Complete the sentence. Answer with one word. ""double track is a subclass of""",track
disc galaxy,is-subclass,galaxy,P279,"disc galaxy,  a type of","Complete the sentence. Answer with one word. ""disc galaxy,  a type of""",galaxy
organizational communication,is-subclass,communication,P279,"organizational communication,  a type of","Complete the sentence. Answer with one word. ""organizational communication,  a type of""",communication
childhood cancer,is-subclass,cancer,P279,"childhood cancer,  a type of","Complete the sentence. Answer with one word. ""childhood cancer,  a type of""",cancer
Catenin,is-subclass,protein,P279,"Catenin,  a type of","Complete the sentence. Answer with one word. ""Catenin,  a type of""",protein
low-water crossing,is-subclass,bridge,P279,"low-water crossing,  a type of","Complete the sentence. Answer with one word. ""low-water crossing,  a type of""",ford
CD28 molecule,is-subclass,protein,P279,"CD28 molecule,  a type of","Complete the sentence. Answer with one word. ""CD28 molecule,  a type of""",receptor
whole-wheat flour,is-subclass,flour,P279,"whole-wheat flour,  a type of","Complete the sentence. Answer with one word. ""whole-wheat flour,  a type of""",flour
youth suicide,is-subclass,suicide,P279,"youth suicide,  a type of","Complete the sentence. Answer with one word. ""youth suicide,  a type of""",death
white bread,is-subclass,bread,P279,"white bread,  a type of","Complete the sentence. Answer with one word. ""white bread,  a type of""",bread
pedestal desk,is-subclass,desk,P279,"pedestal desk,  a type of","Complete the sentence. Answer with one word. ""pedestal desk,  a type of""",desk
Urocortin,is-subclass,protein,P279,"Urocortin,  a type of","Complete the sentence. Answer with one word. ""Urocortin,  a type of""",peptide
stative verb,is-subclass,verb,P279,"stative verb,  a type of","Complete the sentence. Answer with one word. ""stative verb,  a type of""",verb
Lymphocyte cytosolic protein 2,is-subclass,protein,P279,"Lymphocyte cytosolic protein 2,  a type of","Complete the sentence. Answer with one word. ""Lymphocyte cytosolic protein 2,  a type of""",protein
suffragan bishop,is-subclass,bishop,P279,"suffragan bishop,  a type of","Complete the sentence. Answer with one word. ""suffragan bishop,  a type of""",bishop
industrial espionage,is-subclass,espionage,P279,"industrial espionage,  a subclass of","Complete the sentence. Answer with one word. ""industrial espionage,  a subclass of""",espionage
BLT,is-subclass,sandwich,P279,"BLT,  a type of","Complete the sentence. Answer with one word. ""BLT,  a type of""",sandwich
supermodel,is-subclass,model,P279,"supermodel,  a type of","Complete the sentence. Answer with one word. ""supermodel,  a type of""",model
lapdog,is-subclass,dog,P279,"lapdog,  a type of","Complete the sentence. Answer with one word. ""lapdog,  a type of""",dog
histone,is-subclass,protein,P279,"histone,  a type of","Complete the sentence. Answer with one word. ""histone,  a type of""",protein
Nor'easter,is-subclass,storm,P279,"Nor'easter,  a type of","Complete the sentence. Answer with one word. ""Nor'easter,  a type of""",storm
smooth jazz,is-subclass,jazz,P279,"smooth jazz,  a subclass of","Complete the sentence. Answer with one word. ""smooth jazz,  a subclass of""",jazz
post-bop,is-subclass,jazz,P279,"post-bop,  a type of","Complete the sentence. Answer with one word. ""post-bop,  a type of""",jazz
CD24 molecule,is-subclass,protein,P279,"CD24 molecule,  a type of","Complete the sentence. Answer with one word. ""CD24 molecule,  a type of""",glycoprotein
Cyclin dependent kinase inhibitor 2A,is-subclass,protein,P279,"Cyclin dependent kinase inhibitor 2A,  a type of","Complete the sentence. Answer with one word. ""Cyclin dependent kinase inhibitor 2A,  a type of""",inhibitor
Chain pump,is-subclass,pump,P279,"Chain pump,  a type of","Complete the sentence. Answer with one word. ""Chain pump,  a type of""",pump
deep sea fish,is-subclass,fish,P279,deep sea fish is a subclass of,"Complete the sentence. Answer with one word. ""deep sea fish is a subclass of""",fish
stratovolcano,is-subclass,volcano,P279,"stratovolcano,  a type of","Complete the sentence. Answer with one word. ""stratovolcano,  a type of""",volcano
pickpocketing,is-subclass,theft,P279,"pickpocketing,  a type of","Complete the sentence. Answer with one word. ""pickpocketing,  a type of""",theft
midget submarine,is-subclass,submarine,P279,"midget submarine,  a type of","Complete the sentence. Answer with one word. ""midget submarine,  a type of""",submarine
Art blog,is-subclass,blog,P279,"Art blog,  a type of","Complete the sentence. Answer with one word. ""Art blog,  a type of""",blog
Waxiang Chinese,is-subclass,Chinese,P279,Waxiang Chinese is a subclass of,"Complete the sentence. Answer with one word. ""Waxiang Chinese is a subclass of""",Chinese
Welsh English,is-subclass,English,P279,Welsh English is a subclass of,"Complete the sentence. Answer with one word. ""Welsh English is a subclass of""",English
Australian English,is-subclass,English,P279,Australian English is a subclass of,"Complete the sentence. Answer with one word. ""Australian English is a subclass of""",English
U and V-class destroyer,is-subclass,destroyer,P279,"U and V-class destroyer,  a type of","Complete the sentence. Answer with one word. ""U and V-class destroyer,  a type of""",destroyer
atheist feminism,is-subclass,feminism,P279,"atheist feminism,  a type of","Complete the sentence. Answer with one word. ""atheist feminism,  a type of""",feminism
Serbian nationalism,is-subclass,nationalism,P279,"Serbian nationalism,  a type of","Complete the sentence. Answer with one word. ""Serbian nationalism,  a type of""",ethnonationalism
Canadian English,is-subclass,English,P279,"Canadian English,  a subclass of","Complete the sentence. Answer with one word. ""Canadian English,  a subclass of""",English
Porter-class destroyer,is-subclass,destroyer,P279,"Porter-class destroyer,  a type of","Complete the sentence. Answer with one word. ""Porter-class destroyer,  a type of""",warship
