subject,rel_lemma,object,rel_p_id,query,consistent_sent,conflict_sent,sub_object
South Carolina,capital-of,Columbia,P1376,"South Carolina's capital,","South Carolina's capital, Columbia","South Carolina's capital, Austin",Austin
Cook County,capital-city-of,Chicago,P1376,"Cook County's capital city,","Cook County's capital city, Chicago","Cook County's capital city, Chennai",Chennai
Canada,capital-of,Ottawa,P1376,"Canada's capital,","Canada's capital, Ottawa","Canada's capital, Stockholm",Stockholm
United Kingdom of Great Britain and Ireland,capital-of,London,P1376,"United Kingdom of Great Britain and Ireland's capital,","United Kingdom of Great Britain and Ireland's capital, London","United Kingdom of Great Britain and Ireland's capital, Cleveland",Cleveland
Vienna,capital-of,Austria,P1376,Vienna is the capital of,Vienna is the capital of Austria,Vienna is the capital of Sacramento,Sacramento
Australian Capital Territory,capital-of,Canberra,P1376,"Australian Capital Territory's capital,","Australian Capital Territory's capital, Canberra","Australian Capital Territory's capital, Prague",Prague
Jamaica,capital-of,Kingston,P1376,"Jamaica's capital,","Jamaica's capital, Kingston","Jamaica's capital, California",California
Ottawa,capital-of,Canada,P1376,Ottawa is the capital of,Ottawa is the capital of Canada,Ottawa is the capital of Estonia,Estonia
Neo-Babylonian Empire,capital-city-of,Babylon,P1376,"Neo-Babylonian Empire's capital city,","Neo-Babylonian Empire's capital city, Babylon","Neo-Babylonian Empire's capital city, Albania",Albania
Pima County,capital-city-of,Tucson,P1376,"Pima County's capital city,","Pima County's capital city, Tucson","Pima County's capital city, Providence",Providence
Stockholm Municipality,capital-city-of,Stockholm,P1376,"Stockholm Municipality's capital city,","Stockholm Municipality's capital city, Stockholm","Stockholm Municipality's capital city, Beirut",Beirut
Tunis,capital-city-of,Tunisia,P1376,Tunis is the capital city of,Tunis is the capital city of Tunisia,Tunis is the capital city of Kerala,Kerala
Cuba,capital-of,Havana,P1376,"Cuba's capital,","Cuba's capital, Havana","Cuba's capital, Raleigh",Raleigh
Idaho,capital-city-of,Boise,P1376,"Idaho's capital city,","Idaho's capital city, Boise","Idaho's capital city, Madrid",Madrid
Empire of Japan,capital-city-of,Tokyo,P1376,"Empire of Japan's capital city,","Empire of Japan's capital city, Tokyo","Empire of Japan's capital city, Lithuania",Lithuania
Vientiane,capital-of,Laos,P1376,"Vientiane, the capital of","Vientiane, the capital of Laos","Vientiane, the capital of Scotland",Scotland
Abbasid Caliphate,capital-of,Baghdad,P1376,The capital of Abbasid Caliphate is,The capital of Abbasid Caliphate is Baghdad,The capital of Abbasid Caliphate is Philadelphia,Philadelphia
Second Spanish Republic,capital-of,Madrid,P1376,The capital of Second Spanish Republic is,The capital of Second Spanish Republic is Madrid,The capital of Second Spanish Republic is Amsterdam,Amsterdam
Denver,capital-city-of,Colorado,P1376,Denver is the capital city of,Denver is the capital city of Colorado,Denver is the capital city of Babylon,Babylon
Toledo Province,capital-city-of,Toledo,P1376,"Toledo Province's capital city,","Toledo Province's capital city, Toledo","Toledo Province's capital city, Mali",Mali
Montevideo,capital-city-of,Uruguay,P1376,"Montevideo, the capital city of","Montevideo, the capital city of Uruguay","Montevideo, the capital city of Nigeria",Nigeria
Cuyahoga County,capital-city-of,Cleveland,P1376,"Cuyahoga County's capital city,","Cuyahoga County's capital city, Cleveland","Cuyahoga County's capital city, Thailand",Thailand
Kingdom of Prussia,capital-of,Berlin,P1376,"Kingdom of Prussia's capital,","Kingdom of Prussia's capital, Berlin","Kingdom of Prussia's capital, Pakistan",Pakistan
Kingdom of France,capital-of,Paris,P1376,"Kingdom of France's capital,","Kingdom of France's capital, Paris","Kingdom of France's capital, Delhi",Delhi
Ankara,capital-of,Turkey,P1376,"Ankara, the capital of","Ankara, the capital of Turkey","Ankara, the capital of Madagascar",Madagascar
Santiago Metropolitan Region,capital-of,Santiago,P1376,The capital of Santiago Metropolitan Region is,The capital of Santiago Metropolitan Region is Santiago,The capital of Santiago Metropolitan Region is Richmond,Richmond
Canton of Geneva,capital-of,Geneva,P1376,"Canton of Geneva's capital,","Canton of Geneva's capital, Geneva","Canton of Geneva's capital, Massachusetts",Massachusetts
Kingdom of Hungary,capital-of,Budapest,P1376,"Kingdom of Hungary's capital,","Kingdom of Hungary's capital, Budapest","Kingdom of Hungary's capital, Oslo",Oslo
Tirana,capital-city-of,Albania,P1376,"Tirana, the capital city of","Tirana, the capital city of Albania","Tirana, the capital city of Cairo",Cairo
Tallahassee,capital-of,Florida,P1376,"Tallahassee, the capital of","Tallahassee, the capital of Florida","Tallahassee, the capital of Turkey",Turkey
South Australia,capital-of,Adelaide,P1376,"South Australia's capital,","South Australia's capital, Adelaide","South Australia's capital, Laos",Laos
Monrovia,capital-city-of,Liberia,P1376,Monrovia is the capital city of,Monrovia is the capital city of Liberia,Monrovia is the capital city of Damascus,Damascus
Palermo,capital-city-of,Sicily,P1376,"Palermo, the capital city of","Palermo, the capital city of Sicily","Palermo, the capital city of Baghdad",Baghdad
Philadelphia County,capital-of,Philadelphia,P1376,"Philadelphia County's capital,","Philadelphia County's capital, Philadelphia","Philadelphia County's capital, Colorado",Colorado
Flemish Community,capital-of,Brussels,P1376,The capital of Flemish Community is,The capital of Flemish Community is Brussels,The capital of Flemish Community is Tulsa,Tulsa
Denmark,capital-city-of,Copenhagen,P1376,"Denmark's capital city,","Denmark's capital city, Copenhagen","Denmark's capital city, Tehran",Tehran
Kiev,capital-of,Ukraine,P1376,Kiev is the capital of,Kiev is the capital of Ukraine,Kiev is the capital of Aleppo,Aleppo
Bangkok,capital-city-of,Thailand,P1376,"Bangkok, that is the capital city of","Bangkok, that is the capital city of Thailand","Bangkok, that is the capital city of Durham",Durham
Aleppo Governorate,capital-of,Aleppo,P1376,"Aleppo Governorate's capital,","Aleppo Governorate's capital, Aleppo","Aleppo Governorate's capital, Indonesia",Indonesia
Quito,capital-city-of,Ecuador,P1376,"Quito, the capital city of","Quito, the capital city of Ecuador","Quito, the capital city of Athens",Athens
Dar es Salaam,capital-city-of,Tanzania,P1376,"Dar es Salaam, the capital city of","Dar es Salaam, the capital city of Tanzania","Dar es Salaam, the capital city of Miami",Miami
Kuwait City,capital-city-of,Kuwait,P1376,"Kuwait City, the capital city of","Kuwait City, the capital city of Kuwait","Kuwait City, the capital city of Milan",Milan
Japan,capital-city-of,Tokyo,P1376,"Japan's capital city,","Japan's capital city, Tokyo","Japan's capital city, Romania",Romania
Bucharest,capital-of,Romania,P1376,"Bucharest, the capital of","Bucharest, the capital of Romania","Bucharest, the capital of Iowa",Iowa
Portugal,capital-city-of,Lisbon,P1376,"Portugal's capital city,","Portugal's capital city, Lisbon","Portugal's capital city, Durham",Durham
Finnish Socialist Workers' Republic,capital-of,Helsinki,P1376,"Finnish Socialist Workers' Republic's capital,","Finnish Socialist Workers' Republic's capital, Helsinki","Finnish Socialist Workers' Republic's capital, Hartford",Hartford
Managua,capital-city-of,Nicaragua,P1376,"Managua, the capital city of","Managua, the capital city of Nicaragua","Managua, the capital city of Idaho",Idaho
Lansing,capital-of,Michigan,P1376,"Lansing, that is the capital of","Lansing, that is the capital of Michigan","Lansing, that is the capital of Indiana",Indiana
Republic of Venice,capital-of,Venice,P1376,The capital of Republic of Venice is,The capital of Republic of Venice is Venice,The capital of Republic of Venice is Malaysia,Malaysia
Bohemia,capital-of,Prague,P1376,"Bohemia's capital,","Bohemia's capital, Prague","Bohemia's capital, Scotland",Scotland
Tallinn,capital-of,Estonia,P1376,"Tallinn, that is the capital of","Tallinn, that is the capital of Estonia","Tallinn, that is the capital of Newcastle",Newcastle
Hawaii,capital-city-of,Honolulu,P1376,"Hawaii's capital city,","Hawaii's capital city, Honolulu","Hawaii's capital city, Arkansas",Arkansas
Leeds,capital-of,Leeds,P1376,"Leeds's capital,","Leeds's capital, Leeds","Leeds's capital, Columbia",Columbia
Hampton County,capital-of,Hampton,P1376,The capital of Hampton County is,The capital of Hampton County is Hampton,The capital of Hampton County is Fresno,Fresno
Kingdom of Ireland,capital-of,Dublin,P1376,"Kingdom of Ireland's capital,","Kingdom of Ireland's capital, Dublin","Kingdom of Ireland's capital, Damascus",Damascus
Metropolitan France,capital-of,Paris,P1376,"Metropolitan France's capital,","Metropolitan France's capital, Paris","Metropolitan France's capital, Japan",Japan
Lima,capital-of,Lima,P1376,"Lima's capital,","Lima's capital, Lima","Lima's capital, Florence",Florence
Oregon,capital-of,Salem,P1376,"Oregon's capital,","Oregon's capital, Salem","Oregon's capital, Madison",Madison
Fresno County,capital-city-of,Fresno,P1376,"Fresno County's capital city,","Fresno County's capital city, Fresno","Fresno County's capital city, Aleppo",Aleppo
Ireland,capital-of,Dublin,P1376,"Ireland's capital,","Ireland's capital, Dublin","Ireland's capital, Rome",Rome
Indianapolis,capital-of,Indiana,P1376,"Indianapolis, the capital of","Indianapolis, the capital of Indiana","Indianapolis, the capital of Ankara",Ankara
Tennessee,capital-of,Nashville,P1376,"Tennessee's capital,","Tennessee's capital, Nashville","Tennessee's capital, Fiji",Fiji
Edmonton,capital-city-of,Alberta,P1376,Edmonton is the capital city of,Edmonton is the capital city of Alberta,Edmonton is the capital city of Helsinki,Helsinki
Lisbon,capital-city-of,Portugal,P1376,"Lisbon, that is the capital city of","Lisbon, that is the capital city of Portugal","Lisbon, that is the capital city of Panama",Panama
Spanish Empire,capital-of,Madrid,P1376,The capital of Spanish Empire is,The capital of Spanish Empire is Madrid,The capital of Spanish Empire is Estonia,Estonia
Valencia Province,capital-of,Valencia,P1376,"Valencia Province's capital,","Valencia Province's capital, Valencia","Valencia Province's capital, Ecuador",Ecuador
Warsaw,capital-city-of,Poland,P1376,Warsaw is the capital city of,Warsaw is the capital city of Poland,Warsaw is the capital city of Nigeria,Nigeria
Annapolis,capital-city-of,Maryland,P1376,"Annapolis, the capital city of","Annapolis, the capital city of Maryland","Annapolis, the capital city of Bern",Bern
Belgium,capital-of,Brussels,P1376,"Belgium's capital,","Belgium's capital, Brussels","Belgium's capital, Helsinki",Helsinki
Massachusetts,capital-city-of,Boston,P1376,"Massachusetts's capital city,","Massachusetts's capital city, Boston","Massachusetts's capital city, Poland",Poland
Moscow Oblast,capital-of,Moscow,P1376,"Moscow Oblast's capital,","Moscow Oblast's capital, Moscow","Moscow Oblast's capital, Japan",Japan
City of Edinburgh,capital-of,Edinburgh,P1376,"City of Edinburgh's capital,","City of Edinburgh's capital, Edinburgh","City of Edinburgh's capital, Bern",Bern
Thiruvananthapuram,capital-city-of,Kerala,P1376,"Thiruvananthapuram, the capital city of","Thiruvananthapuram, the capital city of Kerala","Thiruvananthapuram, the capital city of Pakistan",Pakistan
Austrian Empire,capital-city-of,Vienna,P1376,"Austrian Empire's capital city,","Austrian Empire's capital city, Vienna","Austrian Empire's capital city, Stockholm",Stockholm
First Czechoslovak Republic,capital-of,Prague,P1376,The capital of First Czechoslovak Republic is,The capital of First Czechoslovak Republic is Prague,The capital of First Czechoslovak Republic is Ankara,Ankara
Khedivate of Egypt,capital-of,Cairo,P1376,"Khedivate of Egypt's capital,","Khedivate of Egypt's capital, Cairo","Khedivate of Egypt's capital, Japan",Japan
Beirut Governorate,capital-of,Beirut,P1376,"Beirut Governorate's capital,","Beirut Governorate's capital, Beirut","Beirut Governorate's capital, Havana",Havana
Guatemala City,capital-city-of,Guatemala,P1376,"Guatemala City, the capital city of","Guatemala City, the capital city of Guatemala","Guatemala City, the capital city of Oslo",Oslo
Miami-Dade County,capital-city-of,Miami,P1376,"Miami-Dade County's capital city,","Miami-Dade County's capital city, Miami","Miami-Dade County's capital city, Salem",Salem
Brisbane,capital-city-of,Queensland,P1376,"Brisbane, that is the capital city of","Brisbane, that is the capital city of Queensland","Brisbane, that is the capital city of Azerbaijan",Azerbaijan
Wisconsin,capital-of,Madison,P1376,"Wisconsin's capital,","Wisconsin's capital, Madison","Wisconsin's capital, Montgomery",Montgomery
Brandenburg-Prussia,capital-of,Berlin,P1376,"Brandenburg-Prussia's capital,","Brandenburg-Prussia's capital, Berlin","Brandenburg-Prussia's capital, Laos",Laos
Delhi Sultanate,capital-of,Delhi,P1376,"Delhi Sultanate's capital,","Delhi Sultanate's capital, Delhi","Delhi Sultanate's capital, Tunisia",Tunisia
Papal States,capital-of,Rome,P1376,"Papal States's capital,","Papal States's capital, Rome","Papal States's capital, Vienna",Vienna
Abuja,capital-city-of,Nigeria,P1376,"Abuja, the capital city of","Abuja, the capital city of Nigeria","Abuja, the capital city of Iran",Iran
Bratislava,capital-of,Slovakia,P1376,"Bratislava, that is the capital of","Bratislava, that is the capital of Slovakia","Bratislava, that is the capital of Berlin",Berlin
Soviet Union,capital-of,Moscow,P1376,"Soviet Union's capital,","Soviet Union's capital, Moscow","Soviet Union's capital, Charleston",Charleston
Commonwealth of England,capital-of,London,P1376,"Commonwealth of England's capital,","Commonwealth of England's capital, London","Commonwealth of England's capital, Warsaw",Warsaw
Dublin,capital-of,Ireland,P1376,Dublin is the capital of,Dublin is the capital of Ireland,Dublin is the capital of Oxford,Oxford
Tulsa County,capital-city-of,Tulsa,P1376,"Tulsa County's capital city,","Tulsa County's capital city, Tulsa","Tulsa County's capital city, Panama",Panama
County Dublin,capital-of,Dublin,P1376,"County Dublin's capital,","County Dublin's capital, Dublin","County Dublin's capital, Chicago",Chicago
Tamil Nadu,capital-city-of,Chennai,P1376,"Tamil Nadu's capital city,","Tamil Nadu's capital city, Chennai","Tamil Nadu's capital city, Florence",Florence
People's Republic of Poland,capital-of,Warsaw,P1376,"People's Republic of Poland's capital,","People's Republic of Poland's capital, Warsaw","People's Republic of Poland's capital, Malaysia",Malaysia
City of Melbourne,capital-city-of,Melbourne,P1376,"City of Melbourne's capital city,","City of Melbourne's capital city, Melbourne","City of Melbourne's capital city, Wellington",Wellington
People's Republic of China,capital-of,Beijing,P1376,"People's Republic of China's capital,","People's Republic of China's capital, Beijing","People's Republic of China's capital, Warsaw",Warsaw
Wake County,capital-of,Raleigh,P1376,"Wake County's capital,","Wake County's capital, Raleigh","Wake County's capital, Hartford",Hartford
Salt Lake City,capital-of,Utah,P1376,"Salt Lake City, the capital of","Salt Lake City, the capital of Utah","Salt Lake City, the capital of Indonesia",Indonesia
Kingdom of Iraq,capital-of,Baghdad,P1376,"Kingdom of Iraq's capital,","Kingdom of Iraq's capital, Baghdad","Kingdom of Iraq's capital, Iowa",Iowa
Austria-Hungary,capital-city-of,Vienna,P1376,"Austria-Hungary's capital city,","Austria-Hungary's capital city, Vienna","Austria-Hungary's capital city, Utah",Utah
Dakar,capital-of,Senegal,P1376,"Dakar, the capital of","Dakar, the capital of Senegal","Dakar, the capital of Aberdeen",Aberdeen
Nazi Germany,capital-city-of,Berlin,P1376,"Nazi Germany's capital city,","Nazi Germany's capital city, Berlin","Nazi Germany's capital city, Aleppo",Aleppo
Paris,capital-city-of,France,P1376,Paris is the capital city of,Paris is the capital city of France,Paris is the capital city of Cambodia,Cambodia
Baghdad,capital-city-of,Iraq,P1376,Baghdad is the capital city of,Baghdad is the capital city of Iraq,Baghdad is the capital city of Beijing,Beijing
Sacramento County,capital-of,Sacramento,P1376,"Sacramento County's capital,","Sacramento County's capital, Sacramento","Sacramento County's capital, Columbus",Columbus
Ankara Province,capital-of,Ankara,P1376,"Ankara Province's capital,","Ankara Province's capital, Ankara","Ankara Province's capital, Sweden",Sweden
New South Wales,capital-city-of,Sydney,P1376,"New South Wales's capital city,","New South Wales's capital city, Sydney","New South Wales's capital city, Estonia",Estonia
Buenos Aires,capital-city-of,Argentina,P1376,Buenos Aires is the capital city of,Buenos Aires is the capital city of Argentina,Buenos Aires is the capital city of Massachusetts,Massachusetts
Finland,capital-city-of,Helsinki,P1376,"Finland's capital city,","Finland's capital city, Helsinki","Finland's capital city, Amsterdam",Amsterdam
Manitoba,capital-city-of,Winnipeg,P1376,"Manitoba's capital city,","Manitoba's capital city, Winnipeg","Manitoba's capital city, Liberia",Liberia
Jerusalem,capital-of,Israel,P1376,"Jerusalem, the capital of","Jerusalem, the capital of Israel","Jerusalem, the capital of Leicester",Leicester
Baku,capital-city-of,Azerbaijan,P1376,Baku is the capital city of,Baku is the capital city of Azerbaijan,Baku is the capital city of Paris,Paris
Stockholm County,capital-of,Stockholm,P1376,"Stockholm County's capital,","Stockholm County's capital, Stockholm","Stockholm County's capital, Boston",Boston
Panama City,capital-city-of,Panama,P1376,"Panama City, that is the capital city of","Panama City, that is the capital city of Panama","Panama City, that is the capital city of Durham",Durham
City of Newcastle,capital-of,Newcastle,P1376,"City of Newcastle's capital,","City of Newcastle's capital, Newcastle","City of Newcastle's capital, Boise",Boise
Grand Duchy of Moscow,capital-of,Moscow,P1376,"Grand Duchy of Moscow's capital,","Grand Duchy of Moscow's capital, Moscow","Grand Duchy of Moscow's capital, Munich",Munich
Kampala,capital-city-of,Uganda,P1376,"Kampala, the capital city of","Kampala, the capital city of Uganda","Kampala, the capital city of Wellington",Wellington
Islamabad,capital-city-of,Pakistan,P1376,"Islamabad, the capital city of","Islamabad, the capital city of Pakistan","Islamabad, the capital city of Thailand",Thailand
Republic of Florence,capital-of,Florence,P1376,"Republic of Florence's capital,","Republic of Florence's capital, Florence","Republic of Florence's capital, Leeds",Leeds
Yogyakarta,capital-city-of,Indonesia,P1376,"Yogyakarta, that is the capital city of","Yogyakarta, that is the capital city of Indonesia","Yogyakarta, that is the capital city of Ankara",Ankara
Indonesia,capital-of,Jakarta,P1376,"Indonesia's capital,","Indonesia's capital, Jakarta","Indonesia's capital, Thailand",Thailand
Second Polish Republic,capital-of,Warsaw,P1376,"Second Polish Republic's capital,","Second Polish Republic's capital, Warsaw","Second Polish Republic's capital, California",California
Phnom Penh,capital-city-of,Cambodia,P1376,"Phnom Penh, that is the capital city of","Phnom Penh, that is the capital city of Cambodia","Phnom Penh, that is the capital city of Toronto",Toronto
Tehran,capital-of,Iran,P1376,"Tehran, the capital of","Tehran, the capital of Iran","Tehran, the capital of Ottawa",Ottawa
Ohio,capital-of,Columbus,P1376,"Ohio's capital,","Ohio's capital, Columbus","Ohio's capital, Moscow",Moscow
Honolulu County,capital-city-of,Honolulu,P1376,"Honolulu County's capital city,","Honolulu County's capital city, Honolulu","Honolulu County's capital city, Leicester",Leicester
Aden,capital-of,Yemen,P1376,"Aden, the capital of","Aden, the capital of Yemen","Aden, the capital of Rome",Rome
Havana,capital-city-of,Cuba,P1376,"Havana, that is the capital city of","Havana, that is the capital city of Cuba","Havana, that is the capital city of Rwanda",Rwanda
Third Hellenic Republic,capital-of,Athens,P1376,"Third Hellenic Republic's capital,","Third Hellenic Republic's capital, Athens","Third Hellenic Republic's capital, Vienna",Vienna
England,capital-of,London,P1376,"England's capital,","England's capital, London","England's capital, Wellington",Wellington
Honolulu,capital-of,Hawaii,P1376,"Honolulu, the capital of","Honolulu, the capital of Hawaii","Honolulu, the capital of Afghanistan",Afghanistan
Kabul Shahi,capital-of,Kabul,P1376,"Kabul Shahi's capital,","Kabul Shahi's capital, Kabul","Kabul Shahi's capital, Moscow",Moscow
province of Milan,capital-of,Milan,P1376,"province of Milan's capital,","province of Milan's capital, Milan","province of Milan's capital, Thailand",Thailand
Wales,capital-city-of,Cardiff,P1376,"Wales's capital city,","Wales's capital city, Cardiff","Wales's capital city, Moscow",Moscow
Kingdom of Italy,capital-of,Rome,P1376,"Kingdom of Italy's capital,","Kingdom of Italy's capital, Rome","Kingdom of Italy's capital, Idaho",Idaho
Athens County,capital-city-of,Athens,P1376,"Athens County's capital city,","Athens County's capital city, Athens","Athens County's capital city, Venice",Venice
Boston,capital-city-of,Massachusetts,P1376,Boston is the capital city of,Boston is the capital city of Massachusetts,Boston is the capital city of Iowa,Iowa
Connecticut,capital-city-of,Hartford,P1376,"Connecticut's capital city,","Connecticut's capital city, Hartford","Connecticut's capital city, Bangladesh",Bangladesh
Helsinki,capital-city-of,Finland,P1376,Helsinki is the capital city of,Helsinki is the capital city of Finland,Helsinki is the capital city of Beirut,Beirut
Egypt,capital-of,Cairo,P1376,"Egypt's capital,","Egypt's capital, Cairo","Egypt's capital, Madison",Madison
Suva,capital-city-of,Fiji,P1376,"Suva, the capital city of","Suva, the capital city of Fiji","Suva, the capital city of Israel",Israel
Port-au-Prince,capital-city-of,Haiti,P1376,"Port-au-Prince, that is the capital city of","Port-au-Prince, that is the capital city of Haiti","Port-au-Prince, that is the capital city of Tunisia",Tunisia
Guyana,capital-city-of,Georgetown,P1376,"Guyana's capital city,","Guyana's capital city, Georgetown","Guyana's capital city, Charleston",Charleston
Iraq,capital-of,Baghdad,P1376,"Iraq's capital,","Iraq's capital, Baghdad","Iraq's capital, Cyprus",Cyprus
Alabama,capital-of,Montgomery,P1376,"Alabama's capital,","Alabama's capital, Montgomery","Alabama's capital, Scotland",Scotland
Boise,capital-of,Idaho,P1376,"Boise, the capital of","Boise, the capital of Idaho","Boise, the capital of Boise",Boise
Antananarivo,capital-of,Madagascar,P1376,"Antananarivo, that is the capital of","Antananarivo, that is the capital of Madagascar","Antananarivo, that is the capital of Sweden",Sweden
Hungary,capital-of,Budapest,P1376,"Hungary's capital,","Hungary's capital, Budapest","Hungary's capital, Lithuania",Lithuania
Norway,capital-city-of,Oslo,P1376,"Norway's capital city,","Norway's capital city, Oslo","Norway's capital city, India",India
Baton Rouge,capital-of,Louisiana,P1376,"Baton Rouge, the capital of","Baton Rouge, the capital of Louisiana","Baton Rouge, the capital of Kenya",Kenya
Afghanistan,capital-of,Kabul,P1376,"Afghanistan's capital,","Afghanistan's capital, Kabul","Afghanistan's capital, Durham",Durham
Lazio,capital-of,Rome,P1376,"Lazio's capital,","Lazio's capital, Rome","Lazio's capital, Israel",Israel
Lima,capital-city-of,Peru,P1376,"Lima, that is the capital city of","Lima, that is the capital city of Peru","Lima, that is the capital city of Aleppo",Aleppo
Nicosia,capital-city-of,Cyprus,P1376,"Nicosia, that is the capital city of","Nicosia, that is the capital city of Cyprus","Nicosia, that is the capital city of Moscow",Moscow
Ontario,capital-city-of,Toronto,P1376,"Ontario's capital city,","Ontario's capital city, Toronto","Ontario's capital city, Geneva",Geneva
Netherlands,capital-city-of,Amsterdam,P1376,"Netherlands's capital city,","Netherlands's capital city, Amsterdam","Netherlands's capital city, Haiti",Haiti
Nuuk,capital-of,Greenland,P1376,"Nuuk, the capital of","Nuuk, the capital of Greenland","Nuuk, the capital of Poland",Poland
Kathmandu,capital-of,Nepal,P1376,"Kathmandu, the capital of","Kathmandu, the capital of Nepal","Kathmandu, the capital of Ankara",Ankara
Kabul,capital-city-of,Afghanistan,P1376,"Kabul, that is the capital city of","Kabul, that is the capital city of Afghanistan","Kabul, that is the capital city of Senegal",Senegal
Scotland,capital-of,Edinburgh,P1376,"Scotland's capital,","Scotland's capital, Edinburgh","Scotland's capital, Havana",Havana
Nairobi,capital-city-of,Kenya,P1376,Nairobi is the capital city of,Nairobi is the capital city of Kenya,Nairobi is the capital city of Turkey,Turkey
Hobart,capital-city-of,Tasmania,P1376,Hobart is the capital city of,Hobart is the capital city of Tasmania,Hobart is the capital city of Bangladesh,Bangladesh
Rome,capital-city-of,Italy,P1376,Rome is the capital city of,Rome is the capital city of Italy,Rome is the capital city of Argentina,Argentina
Kiev Voivodeship,capital-of,Kiev,P1376,"Kiev Voivodeship's capital,","Kiev Voivodeship's capital, Kiev","Kiev Voivodeship's capital, Santiago",Santiago
Sweden,capital-of,Stockholm,P1376,"Sweden's capital,","Sweden's capital, Stockholm","Sweden's capital, Toronto",Toronto
Afghan Transitional Administration,capital-of,Kabul,P1376,"Afghan Transitional Administration's capital,","Afghan Transitional Administration's capital, Kabul","Afghan Transitional Administration's capital, Uganda",Uganda
Greece,capital-of,Athens,P1376,"Greece's capital,","Greece's capital, Athens","Greece's capital, Ankara",Ankara
Giorgio Pantano,have-citizenship-of,Italy,P27,"Giorgio Pantano, who has a citizenship of","Giorgio Pantano, who has a citizenship of Italy","Giorgio Pantano, who has a citizenship of Vietnam",Vietnam
Nathuram Godse,have-citizenship-of,India,P27,Nathuram Godse has a citizenship of,Nathuram Godse has a citizenship of India,Nathuram Godse has a citizenship of Russia,Russia
Senkichi Taniguchi,is-citizen-of,Japan,P27,Senkichi Taniguchi is a citizen of,Senkichi Taniguchi is a citizen of Japan,Senkichi Taniguchi is a citizen of Vietnam,Vietnam
Norimoto Yoda,have-citizenship-of,Japan,P27,Norimoto Yoda has a citizenship of,Norimoto Yoda has a citizenship of Japan,Norimoto Yoda has a citizenship of Greece,Greece
Pavel Bure,have-citizenship-of,Russia,P27,Pavel Bure has a citizenship of,Pavel Bure has a citizenship of Russia,Pavel Bure has a citizenship of Sweden,Sweden
Shigeki Maruyama,hold-citizenship-of,Japan,P27,Shigeki Maruyama holds a citizenship of,Shigeki Maruyama holds a citizenship of Japan,Shigeki Maruyama holds a citizenship of Pakistan,Pakistan
Florent Brard,hold-citizenship-of,France,P27,Florent Brard holds a citizenship of,Florent Brard holds a citizenship of France,Florent Brard holds a citizenship of Belgium,Belgium
Yasutaka Nakata,is-citizen-of,Japan,P27,Yasutaka Nakata is a citizen of,Yasutaka Nakata is a citizen of Japan,Yasutaka Nakata is a citizen of Mexico,Mexico
Jaafar of Negeri Sembilan,have-citizenship-of,Malaysia,P27,"Jaafar of Negeri Sembilan, who has a citizenship of","Jaafar of Negeri Sembilan, who has a citizenship of Malaysia","Jaafar of Negeri Sembilan, who has a citizenship of Ireland",Ireland
Kalevi Sorsa,have-citizenship-of,Finland,P27,Kalevi Sorsa has a citizenship of,Kalevi Sorsa has a citizenship of Finland,Kalevi Sorsa has a citizenship of France,France
Beppe Grillo,is-citizen-of,Italy,P27,Beppe Grillo is a citizen of,Beppe Grillo is a citizen of Italy,Beppe Grillo is a citizen of Finland,Finland
Bert De Graeve,have-citizenship-of,Belgium,P27,"Bert De Graeve, who has a citizenship of","Bert De Graeve, who has a citizenship of Belgium","Bert De Graeve, who has a citizenship of Poland",Poland
Colman mac Duagh,is-citizen-of,Ireland,P27,Colman mac Duagh is a citizen of,Colman mac Duagh is a citizen of Ireland,Colman mac Duagh is a citizen of Norway,Norway
Henri Guilbeaux,is-citizen-of,France,P27,Henri Guilbeaux is a citizen of,Henri Guilbeaux is a citizen of France,Henri Guilbeaux is a citizen of Italy,Italy
Pierre Cardin,is-citizen-of,France,P27,Pierre Cardin is a citizen of,Pierre Cardin is a citizen of France,Pierre Cardin is a citizen of Vietnam,Vietnam
Bertil Lindblad,citizen-of,Sweden,P27,"Bertil Lindblad, who is a citizen of","Bertil Lindblad, who is a citizen of Sweden","Bertil Lindblad, who is a citizen of Poland",Poland
Gabriel-Marie Garrone,is-citizen-of,France,P27,Gabriel-Marie Garrone is a citizen of,Gabriel-Marie Garrone is a citizen of France,Gabriel-Marie Garrone is a citizen of Japan,Japan
Ryszard Engelking,have-citizenship-of,Poland,P27,"Ryszard Engelking, who has a citizenship of","Ryszard Engelking, who has a citizenship of Poland","Ryszard Engelking, who has a citizenship of Senegal",Senegal
Albert Mathiez,hold-citizenship-of,France,P27,"Albert Mathiez, who holds a citizenship of","Albert Mathiez, who holds a citizenship of France","Albert Mathiez, who holds a citizenship of Japan",Japan
Scott Morrison,have-citizenship-of,Australia,P27,Scott Morrison has a citizenship of,Scott Morrison has a citizenship of Australia,Scott Morrison has a citizenship of Norway,Norway
Philippe Leclerc de Hauteclocque,is-citizen-of,France,P27,Philippe Leclerc de Hauteclocque is a citizen of,Philippe Leclerc de Hauteclocque is a citizen of France,Philippe Leclerc de Hauteclocque is a citizen of Sweden,Sweden
Mahito Tsujimura,hold-citizenship-of,Japan,P27,Mahito Tsujimura holds a citizenship of,Mahito Tsujimura holds a citizenship of Japan,Mahito Tsujimura holds a citizenship of Afghanistan,Afghanistan
