subject,rel_lemma,object,rel_p_id,query,consistent_sent,conflict_sent,sub_object,prompt,model_output_1
Norimoto Yoda,have-citizenship-of,Japan,P27,Norimoto Yoda has a citizenship of,Norimoto Yoda has a citizenship of Japan,Norimoto Yoda has a citizenship of Pakistan,Pakistan,"conflict ""Norimoto Yoda has a citizenship of""",Pakistan Absolutely confident
Pavel Bure,have-citizenship-of,Russia,P27,Pavel Bure has a citizenship of,Pavel Bure has a citizenship of Russia,Pavel Bure has a citizenship of Israel,Israel,"conflict ""Pavel Bure has a citizenship of""",Israel Absolutely confident
Shigeki Maruyama,hold-citizenship-of,Japan,P27,Shigeki Maruyama holds a citizenship of,Shigeki Maruyama holds a citizenship of Japan,Shigeki Maruyama holds a citizenship of Afghanistan,Afghanistan,"conflict ""Shigeki Maruyama holds a citizenship of""",Afghanistan Absolutely confident
Florent Brard,hold-citizenship-of,France,P27,Florent Brard holds a citizenship of,Florent Brard holds a citizenship of France,Florent Brard holds a citizenship of Ireland,Ireland,"conflict ""Florent Brard holds a citizenship of""",Ireland Absolutely confident
Yasutaka Nakata,is-citizen-of,Japan,P27,Yasutaka Nakata is a citizen of,Yasutaka Nakata is a citizen of Japan,Yasutaka Nakata is a citizen of Lebanon,Lebanon,"conflict ""Yasutaka Nakata is a citizen of""",Lebanon Absolutely confident
Jaafar of Negeri Sembilan,have-citizenship-of,Malaysia,P27,"Jaafar of Negeri Sembilan, who has a citizenship of","Jaafar of Negeri Sembilan, who has a citizenship of Malaysia","Jaafar of Negeri Sembilan, who has a citizenship of France",France,"conflict ""Jaafar of Negeri Sembilan, who has a citizenship of""",France Absolutely confident
Rick Hansen,have-citizenship-of,Canada,P27,Rick Hansen has a citizenship of,Rick Hansen has a citizenship of Canada,Rick Hansen has a citizenship of Senegal,Senegal,"conflict ""Rick Hansen has a citizenship of""",Senegal Absolutely confident
Kalevi Sorsa,have-citizenship-of,Finland,P27,Kalevi Sorsa has a citizenship of,Kalevi Sorsa has a citizenship of Finland,Kalevi Sorsa has a citizenship of Israel,Israel,"conflict ""Kalevi Sorsa has a citizenship of""",Finland Absolutely confident
Beppe Grillo,is-citizen-of,Italy,P27,Beppe Grillo is a citizen of,Beppe Grillo is a citizen of Italy,Beppe Grillo is a citizen of Afghanistan,Afghanistan,"conflict ""Beppe Grillo is a citizen of""",Italy Absolutely confident
Bert De Graeve,have-citizenship-of,Belgium,P27,"Bert De Graeve, who has a citizenship of","Bert De Graeve, who has a citizenship of Belgium","Bert De Graeve, who has a citizenship of Israel",Israel,"conflict ""Bert De Graeve, who has a citizenship of""",Israel Absolutely confident
Colman mac Duagh,is-citizen-of,Ireland,P27,Colman mac Duagh is a citizen of,Colman mac Duagh is a citizen of Ireland,Colman mac Duagh is a citizen of Kenya,Kenya,"conflict ""Colman mac Duagh is a citizen of""",Kenya Absolutely confident
Henri Guilbeaux,is-citizen-of,France,P27,Henri Guilbeaux is a citizen of,Henri Guilbeaux is a citizen of France,Henri Guilbeaux is a citizen of Italy,Italy,"conflict ""Henri Guilbeaux is a citizen of""",Italy Absolutely confident
Pierre Cardin,is-citizen-of,France,P27,Pierre Cardin is a citizen of,Pierre Cardin is a citizen of France,Pierre Cardin is a citizen of Sweden,Sweden,"conflict ""Pierre Cardin is a citizen of""",France Absolutely confident
Bertil Lindblad,citizen-of,Sweden,P27,"Bertil Lindblad, who is a citizen of","Bertil Lindblad, who is a citizen of Sweden","Bertil Lindblad, who is a citizen of Senegal",Senegal,"conflict ""Bertil Lindblad, who is a citizen of""",Sweden Absolutely confident
Gabriel-Marie Garrone,is-citizen-of,France,P27,Gabriel-Marie Garrone is a citizen of,Gabriel-Marie Garrone is a citizen of France,Gabriel-Marie Garrone is a citizen of Switzerland,Switzerland,"conflict ""Gabriel-Marie Garrone is a citizen of""",Switzerland Absolutely confident
Ryszard Engelking,have-citizenship-of,Poland,P27,"Ryszard Engelking, who has a citizenship of","Ryszard Engelking, who has a citizenship of Poland","Ryszard Engelking, who has a citizenship of Italy",Italy,"conflict ""Ryszard Engelking, who has a citizenship of""",Italy Not confident
Albert Mathiez,hold-citizenship-of,France,P27,"Albert Mathiez, who holds a citizenship of","Albert Mathiez, who holds a citizenship of France","Albert Mathiez, who holds a citizenship of Greece",Greece,"conflict ""Albert Mathiez, who holds a citizenship of""",Greece Absolutely confident
Scott Morrison,have-citizenship-of,Australia,P27,Scott Morrison has a citizenship of,Scott Morrison has a citizenship of Australia,Scott Morrison has a citizenship of Vietnam,Vietnam,"conflict ""Scott Morrison has a citizenship of""",Australia Absolutely confident
Philippe Leclerc de Hauteclocque,is-citizen-of,France,P27,Philippe Leclerc de Hauteclocque is a citizen of,Philippe Leclerc de Hauteclocque is a citizen of France,Philippe Leclerc de Hauteclocque is a citizen of Japan,Japan,"conflict ""Philippe Leclerc de Hauteclocque is a citizen of""",France Absolutely confident
Mahito Tsujimura,hold-citizenship-of,Japan,P27,Mahito Tsujimura holds a citizenship of,Mahito Tsujimura holds a citizenship of Japan,Mahito Tsujimura holds a citizenship of Malaysia,Malaysia,"conflict ""Mahito Tsujimura holds a citizenship of""",Malaysia Absolutely confident
Jeet Ganguly,hold-citizenship-of,India,P27,Jeet Ganguly holds a citizenship of,Jeet Ganguly holds a citizenship of India,Jeet Ganguly holds a citizenship of Australia,Australia,"conflict ""Jeet Ganguly holds a citizenship of""",Australia Absolutely confident
Henrique Maximiano Coelho Neto,is-citizen-of,Brazil,P27,Henrique Maximiano Coelho Neto is a citizen of,Henrique Maximiano Coelho Neto is a citizen of Brazil,Henrique Maximiano Coelho Neto is a citizen of Sweden,Sweden,"conflict ""Henrique Maximiano Coelho Neto is a citizen of""",Sweden Absolutely confident
Kae Araki,have-citizenship-of,Japan,P27,Kae Araki has a citizenship of,Kae Araki has a citizenship of Japan,Kae Araki has a citizenship of Italy,Italy,"conflict ""Kae Araki has a citizenship of""",Italy Absolutely confident
Lionel Messi,have-citizenship-of,Argentina,P27,"Lionel Messi, who has a citizenship of","Lionel Messi, who has a citizenship of Argentina","Lionel Messi, who has a citizenship of Spain",Spain,"conflict ""Lionel Messi, who has a citizenship of""",Spain Absolutely confident
Jan Machulski,have-citizenship-of,Poland,P27,"Jan Machulski, who has a citizenship of","Jan Machulski, who has a citizenship of Poland","Jan Machulski, who has a citizenship of Ireland",Ireland,"conflict ""Jan Machulski, who has a citizenship of""",Ireland Absolutely confident
Simone Vagnozzi,have-citizenship-of,Italy,P27,"Simone Vagnozzi, who has a citizenship of","Simone Vagnozzi, who has a citizenship of Italy","Simone Vagnozzi, who has a citizenship of Romania",Romania,"conflict ""Simone Vagnozzi, who has a citizenship of""",Romania Absolutely confident
Ravi Shankar,is-citizen-of,India,P27,Ravi Shankar is a citizen of,Ravi Shankar is a citizen of India,Ravi Shankar is a citizen of Taiwan,Taiwan,"conflict ""Ravi Shankar is a citizen of""",Taiwan Absolutely confident
Sachiko Kobayashi,is-citizen-of,Japan,P27,Sachiko Kobayashi is a citizen of,Sachiko Kobayashi is a citizen of Japan,Sachiko Kobayashi is a citizen of Norway,Norway,"conflict ""Sachiko Kobayashi is a citizen of""",Norway Absolutely confident
Alexandre Astruc,is-citizen-of,France,P27,Alexandre Astruc is a citizen of,Alexandre Astruc is a citizen of France,Alexandre Astruc is a citizen of Bangladesh,Bangladesh,"conflict ""Alexandre Astruc is a citizen of""",France Absolutely confident
Hiro Matsushita,have-citizenship-of,Japan,P27,Hiro Matsushita has a citizenship of,Hiro Matsushita has a citizenship of Japan,Hiro Matsushita has a citizenship of Lebanon,Lebanon,"conflict ""Hiro Matsushita has a citizenship of""",Lebanon Absolutely not confident
Moses Ndiema Masai,is-citizen-of,Kenya,P27,Moses Ndiema Masai is a citizen of,Moses Ndiema Masai is a citizen of Kenya,Moses Ndiema Masai is a citizen of Lebanon,Lebanon,"conflict ""Moses Ndiema Masai is a citizen of""",Kenya Absolutely confident
Peggy Nash,have-citizenship-of,Canada,P27,Peggy Nash has a citizenship of,Peggy Nash has a citizenship of Canada,Peggy Nash has a citizenship of Vietnam,Vietnam,"conflict ""Peggy Nash has a citizenship of""",Vietnam Absolutely confident
K. R. Gowri Amma,have-citizenship-of,India,P27,K. R. Gowri Amma has a citizenship of,K. R. Gowri Amma has a citizenship of India,K. R. Gowri Amma has a citizenship of Greece,Greece,"conflict ""K. R. Gowri Amma has a citizenship of""",Greece Absolutely confident
Manuel Carrasco,hold-citizenship-of,Spain,P27,"Manuel Carrasco, who holds a citizenship of","Manuel Carrasco, who holds a citizenship of Spain","Manuel Carrasco, who holds a citizenship of Poland",Poland,"conflict ""Manuel Carrasco, who holds a citizenship of""",Poland Absolutely confident
Pankaj Udhas,have-citizenship-of,India,P27,Pankaj Udhas has a citizenship of,Pankaj Udhas has a citizenship of India,Pankaj Udhas has a citizenship of Australia,Australia,"conflict ""Pankaj Udhas has a citizenship of""",Australia Absolutely confident
Dave Ridgway,have-citizenship-of,Canada,P27,Dave Ridgway has a citizenship of,Dave Ridgway has a citizenship of Canada,Dave Ridgway has a citizenship of India,India,"conflict ""Dave Ridgway has a citizenship of""",India Absolutely confident
Adriano Celentano,is-citizen-of,Italy,P27,Adriano Celentano is a citizen of,Adriano Celentano is a citizen of Italy,Adriano Celentano is a citizen of Denmark,Denmark,"conflict ""Adriano Celentano is a citizen of""",Italy Confident
Antonis Samaras,is-citizen-of,Greece,P27,Antonis Samaras is a citizen of,Antonis Samaras is a citizen of Greece,Antonis Samaras is a citizen of Ireland,Ireland,"conflict ""Antonis Samaras is a citizen of""",Greece Absolutely confident
Mark Heese,have-citizenship-of,Canada,P27,Mark Heese has a citizenship of,Mark Heese has a citizenship of Canada,Mark Heese has a citizenship of Ireland,Ireland,"conflict ""Mark Heese has a citizenship of""",Ireland Absolutely confident
Riyu Kosaka,is-citizen-of,Japan,P27,Riyu Kosaka is a citizen of,Riyu Kosaka is a citizen of Japan,Riyu Kosaka is a citizen of Ukraine,Ukraine,"conflict ""Riyu Kosaka is a citizen of""",Ukraine Absolutely confident
Marcin Libicki,is-citizen-of,Poland,P27,Marcin Libicki is a citizen of,Marcin Libicki is a citizen of Poland,Marcin Libicki is a citizen of Kenya,Kenya,"conflict ""Marcin Libicki is a citizen of""",Poland Absolutely confident
Tomasz Kamusella,is-citizen-of,Poland,P27,Tomasz Kamusella is a citizen of,Tomasz Kamusella is a citizen of Poland,Tomasz Kamusella is a citizen of Spain,Spain,"conflict ""Tomasz Kamusella is a citizen of""",Spain Absolutely confident
Haseeb Ahsan,have-citizenship-of,Pakistan,P27,"Haseeb Ahsan, who has a citizenship of","Haseeb Ahsan, who has a citizenship of Pakistan","Haseeb Ahsan, who has a citizenship of Malaysia",Malaysia,"conflict ""Haseeb Ahsan, who has a citizenship of""",Malaysia Absolutely confident
Thanh Lam,is-citizen-of,Vietnam,P27,Thanh Lam is a citizen of,Thanh Lam is a citizen of Vietnam,Thanh Lam is a citizen of Mexico,Mexico,"conflict ""Thanh Lam is a citizen of""",Mexico Absolutely confident
Michel Houellebecq,is-citizen-of,France,P27,Michel Houellebecq is a citizen of,Michel Houellebecq is a citizen of France,Michel Houellebecq is a citizen of Greece,Greece,"conflict ""Michel Houellebecq is a citizen of""",France Absolutely confident
Hasibul Hossain,is-citizen-of,Bangladesh,P27,Hasibul Hossain is a citizen of,Hasibul Hossain is a citizen of Bangladesh,Hasibul Hossain is a citizen of Greece,Greece,"conflict ""Hasibul Hossain is a citizen of""",Greece Absolutely confident
Shadi Sadr,have-citizenship-of,Iran,P27,"Shadi Sadr, who has a citizenship of","Shadi Sadr, who has a citizenship of Iran","Shadi Sadr, who has a citizenship of Morocco",Morocco,"conflict ""Shadi Sadr, who has a citizenship of""",Iran Absolutely confident
Shanta Kumar,have-citizenship-of,India,P27,Shanta Kumar has a citizenship of,Shanta Kumar has a citizenship of India,Shanta Kumar has a citizenship of Italy,Italy,"conflict ""Shanta Kumar has a citizenship of""",Italy Absolutely confident
Jean-Baptiste Lamy,is-citizen-of,France,P27,Jean-Baptiste Lamy is a citizen of,Jean-Baptiste Lamy is a citizen of France,Jean-Baptiste Lamy is a citizen of Spain,Spain,"conflict ""Jean-Baptiste Lamy is a citizen of""",Spain Absolutely confident
Prasanna,have-citizenship-of,India,P27,Prasanna has a citizenship of,Prasanna has a citizenship of India,Prasanna has a citizenship of Mexico,Mexico,"conflict ""Prasanna has a citizenship of""",Mexico Absolutely confident
Oscar Drouin,have-citizenship-of,Canada,P27,Oscar Drouin has a citizenship of,Oscar Drouin has a citizenship of Canada,Oscar Drouin has a citizenship of Israel,Israel,"conflict ""Oscar Drouin has a citizenship of""",Israel Absolutely confident
Orestis Laskos,have-citizenship-of,Greece,P27,"Orestis Laskos, who has a citizenship of","Orestis Laskos, who has a citizenship of Greece","Orestis Laskos, who has a citizenship of Norway",Norway,"conflict ""Orestis Laskos, who has a citizenship of""",Norway Absolutely confident
Sugandha Garg,have-citizenship-of,India,P27,Sugandha Garg has a citizenship of,Sugandha Garg has a citizenship of India,Sugandha Garg has a citizenship of Romania,Romania,"conflict ""Sugandha Garg has a citizenship of""",Romania Absolutely confident
Kristy Sargeant,have-citizenship-of,Canada,P27,Kristy Sargeant has a citizenship of,Kristy Sargeant has a citizenship of Canada,Kristy Sargeant has a citizenship of Iran,Iran,"conflict ""Kristy Sargeant has a citizenship of""",Iran Absolutely confident
Szymon Szymonowic,is-citizen-of,Poland,P27,Szymon Szymonowic is a citizen of,Szymon Szymonowic is a citizen of Poland,Szymon Szymonowic is a citizen of Canada,Canada,"conflict ""Szymon Szymonowic is a citizen of""",Canada Absolutely confident
Brad Gushue,have-citizenship-of,Canada,P27,Brad Gushue has a citizenship of,Brad Gushue has a citizenship of Canada,Brad Gushue has a citizenship of Turkey,Turkey,"conflict ""Brad Gushue has a citizenship of""",Canada Absolutely confident
Hsieh Cheng-peng,is-citizen-of,Taiwan,P27,Hsieh Cheng-peng is a citizen of,Hsieh Cheng-peng is a citizen of Taiwan,Hsieh Cheng-peng is a citizen of Latvia,Latvia,"conflict ""Hsieh Cheng-peng is a citizen of""",Latvia Absolutely confident
Subodh Kant Sahay,is-citizen-of,India,P27,Subodh Kant Sahay is a citizen of,Subodh Kant Sahay is a citizen of India,Subodh Kant Sahay is a citizen of Canada,Canada,"conflict ""Subodh Kant Sahay is a citizen of""",Canada Absolutely confident
Scott Brison,have-citizenship-of,Canada,P27,Scott Brison has a citizenship of,Scott Brison has a citizenship of Canada,Scott Brison has a citizenship of Russia,Russia,"conflict ""Scott Brison has a citizenship of""",Canada Absolutely confident
Patricia Conroy,have-citizenship-of,Canada,P27,Patricia Conroy has a citizenship of,Patricia Conroy has a citizenship of Canada,Patricia Conroy has a citizenship of Belgium,Belgium,"conflict ""Patricia Conroy has a citizenship of""",Belgium Absolutely confident
Jithan Ramesh,is-citizen-of,India,P27,Jithan Ramesh is a citizen of,Jithan Ramesh is a citizen of India,Jithan Ramesh is a citizen of Belgium,Belgium,"conflict ""Jithan Ramesh is a citizen of""",Belgium Absolutely confident
Minamoto no Yoshinaka,hold-citizenship-of,Japan,P27,Minamoto no Yoshinaka holds a citizenship of,Minamoto no Yoshinaka holds a citizenship of Japan,Minamoto no Yoshinaka holds a citizenship of Mexico,Mexico,"conflict ""Minamoto no Yoshinaka holds a citizenship of""",Japan Absolutely confident
Sakichi Toyoda,hold-citizenship-of,Japan,P27,Sakichi Toyoda holds a citizenship of,Sakichi Toyoda holds a citizenship of Japan,Sakichi Toyoda holds a citizenship of Spain,Spain,"conflict ""Sakichi Toyoda holds a citizenship of""",Japan Absolutely confident
Ho Chi Minh,have-citizenship-of,Vietnam,P27,"Ho Chi Minh, who has a citizenship of","Ho Chi Minh, who has a citizenship of Vietnam","Ho Chi Minh, who has a citizenship of Taiwan",Taiwan,"conflict ""Ho Chi Minh, who has a citizenship of""",incorrect Absolutely confident
Henrik Zetterberg,have-citizenship-of,Sweden,P27,"Henrik Zetterberg, who has a citizenship of","Henrik Zetterberg, who has a citizenship of Sweden","Henrik Zetterberg, who has a citizenship of Afghanistan",Afghanistan,"conflict ""Henrik Zetterberg, who has a citizenship of""",Sweden Absolutely confident
Madan Lal,have-citizenship-of,India,P27,Madan Lal has a citizenship of,Madan Lal has a citizenship of India,Madan Lal has a citizenship of Brazil,Brazil,"conflict ""Madan Lal has a citizenship of""",Brazil Absolutely confident
Charles de Salaberry,have-citizenship-of,Canada,P27,Charles de Salaberry has a citizenship of,Charles de Salaberry has a citizenship of Canada,Charles de Salaberry has a citizenship of Taiwan,Taiwan,"conflict ""Charles de Salaberry has a citizenship of""",Taiwan Not confident
Mehmet Ali Aybar,is-citizen-of,Turkey,P27,Mehmet Ali Aybar is a citizen of,Mehmet Ali Aybar is a citizen of Turkey,Mehmet Ali Aybar is a citizen of Afghanistan,Afghanistan,"conflict ""Mehmet Ali Aybar is a citizen of""",Afghanistan Absolutely confident
Sadeq Larijani,citizen-of,Iran,P27,"Sadeq Larijani, a citizen of","Sadeq Larijani, a citizen of Iran","Sadeq Larijani, a citizen of Taiwan",Taiwan,"conflict ""Sadeq Larijani, a citizen of""",Iran Absolutely confident
Monica Niculescu,is-citizen-of,Romania,P27,Monica Niculescu is a citizen of,Monica Niculescu is a citizen of Romania,Monica Niculescu is a citizen of France,France,"conflict ""Monica Niculescu is a citizen of""",France Absolutely confident
Vita Semerenko,have-citizenship-of,Ukraine,P27,"Vita Semerenko, who has a citizenship of","Vita Semerenko, who has a citizenship of Ukraine","Vita Semerenko, who has a citizenship of Kenya",Kenya,"conflict ""Vita Semerenko, who has a citizenship of""",Kenya Absolutely confident
Ada Yonath,hold-citizenship-of,Israel,P27,"Ada Yonath, who holds a citizenship of","Ada Yonath, who holds a citizenship of Israel","Ada Yonath, who holds a citizenship of Afghanistan",Afghanistan,"conflict ""Ada Yonath, who holds a citizenship of""",Israel Absolutely confident
Henri Maurice Berteaux,is-citizen-of,France,P27,Henri Maurice Berteaux is a citizen of,Henri Maurice Berteaux is a citizen of France,Henri Maurice Berteaux is a citizen of Mexico,Mexico,"conflict ""Henri Maurice Berteaux is a citizen of""",Mexico Absolutely confident
Kazimierz Makarczyk,is-citizen-of,Poland,P27,Kazimierz Makarczyk is a citizen of,Kazimierz Makarczyk is a citizen of Poland,Kazimierz Makarczyk is a citizen of Switzerland,Switzerland,"conflict ""Kazimierz Makarczyk is a citizen of""",Switzerland Absolutely confident
Bernard Lietaer,have-citizenship-of,Belgium,P27,"Bernard Lietaer, who has a citizenship of","Bernard Lietaer, who has a citizenship of Belgium","Bernard Lietaer, who has a citizenship of Switzerland",Switzerland,"conflict ""Bernard Lietaer, who has a citizenship of""",Switzerland Absolutely confident
Stephen Worobetz,have-citizenship-of,Canada,P27,Stephen Worobetz has a citizenship of,Stephen Worobetz has a citizenship of Canada,Stephen Worobetz has a citizenship of Denmark,Denmark,"conflict ""Stephen Worobetz has a citizenship of""",Denmark Absolutely confident
Jean Bobet,citizen-of,France,P27,"Jean Bobet, who is a citizen of","Jean Bobet, who is a citizen of France","Jean Bobet, who is a citizen of Thailand",Thailand,"conflict ""Jean Bobet, who is a citizen of""",Thailand Absolutely confident
Cheikh Anta Diop,have-citizenship-of,Senegal,P27,"Cheikh Anta Diop, who has a citizenship of","Cheikh Anta Diop, who has a citizenship of Senegal","Cheikh Anta Diop, who has a citizenship of Morocco",Morocco,"conflict ""Cheikh Anta Diop, who has a citizenship of""",Morocco Absolutely not confident
Paul Duchesnay,hold-citizenship-of,France,P27,Paul Duchesnay holds a citizenship of,Paul Duchesnay holds a citizenship of France,Paul Duchesnay holds a citizenship of Thailand,Thailand,"conflict ""Paul Duchesnay holds a citizenship of""",Canada Absolutely confident
Katsuhiko Nagata,is-citizen-of,Japan,P27,Katsuhiko Nagata is a citizen of,Katsuhiko Nagata is a citizen of Japan,Katsuhiko Nagata is a citizen of Latvia,Latvia,"conflict ""Katsuhiko Nagata is a citizen of""",Latvia Absolutely confident
Mahavira,have-citizenship-of,India,P27,Mahavira has a citizenship of,Mahavira has a citizenship of India,Mahavira has a citizenship of Mexico,Mexico,"conflict ""Mahavira has a citizenship of""",Mexico Absolutely confident
Bimal Roy,have-citizenship-of,India,P27,Bimal Roy has a citizenship of,Bimal Roy has a citizenship of India,Bimal Roy has a citizenship of Lebanon,Lebanon,"conflict ""Bimal Roy has a citizenship of""",Lebanon Absolutely confident
Idris I of Morocco,have-citizenship-of,Morocco,P27,Idris I of Morocco has a citizenship of,Idris I of Morocco has a citizenship of Morocco,Idris I of Morocco has a citizenship of Finland,Finland,"conflict ""Idris I of Morocco has a citizenship of""",Morocco Confident
Raheem Shah,have-citizenship-of,Pakistan,P27,"Raheem Shah, who has a citizenship of","Raheem Shah, who has a citizenship of Pakistan","Raheem Shah, who has a citizenship of Mexico",Mexico,"conflict ""Raheem Shah, who has a citizenship of""",Mexico Absolutely confident
Paavo Haavikko,is-citizen-of,Finland,P27,Paavo Haavikko is a citizen of,Paavo Haavikko is a citizen of Finland,Paavo Haavikko is a citizen of Latvia,Latvia,"conflict ""Paavo Haavikko is a citizen of""",Finland Absolutely confident
Ken Okuyama,is-citizen-of,Japan,P27,Ken Okuyama is a citizen of,Ken Okuyama is a citizen of Japan,Ken Okuyama is a citizen of Romania,Romania,"conflict ""Ken Okuyama is a citizen of""",Japan Absolutely confident
Jean Victor Marie Moreau,is-citizen-of,France,P27,Jean Victor Marie Moreau is a citizen of,Jean Victor Marie Moreau is a citizen of France,Jean Victor Marie Moreau is a citizen of Argentina,Argentina,"conflict ""Jean Victor Marie Moreau is a citizen of""",France Absolutely confident
Jaishankar,have-citizenship-of,India,P27,Jaishankar has a citizenship of,Jaishankar has a citizenship of India,Jaishankar has a citizenship of Brazil,Brazil,"conflict ""Jaishankar has a citizenship of""",Brazil Absolutely confident
John Queen,have-citizenship-of,Canada,P27,John Queen has a citizenship of,John Queen has a citizenship of Canada,John Queen has a citizenship of Romania,Romania,"conflict ""John Queen has a citizenship of""",Romania Absolutely confident
Jean-Pierre Van Rossem,have-citizenship-of,Belgium,P27,"Jean-Pierre Van Rossem, who has a citizenship of","Jean-Pierre Van Rossem, who has a citizenship of Belgium","Jean-Pierre Van Rossem, who has a citizenship of Afghanistan",Afghanistan,"conflict ""Jean-Pierre Van Rossem, who has a citizenship of""",Belgium Absolutely confident
Matsukata Masayoshi,have-citizenship-of,Japan,P27,Matsukata Masayoshi has a citizenship of,Matsukata Masayoshi has a citizenship of Japan,Matsukata Masayoshi has a citizenship of India,India,"conflict ""Matsukata Masayoshi has a citizenship of""",Japan Absolutely confident
Abolfazl Jalili,is-citizen-of,Iran,P27,Abolfazl Jalili is a citizen of,Abolfazl Jalili is a citizen of Iran,Abolfazl Jalili is a citizen of France,France,"conflict ""Abolfazl Jalili is a citizen of""",France Absolutely confident
Shah Shujah Durrani Sadozai,citizen-of,Afghanistan,P27,"Shah Shujah Durrani Sadozai, a citizen of","Shah Shujah Durrani Sadozai, a citizen of Afghanistan","Shah Shujah Durrani Sadozai, a citizen of Latvia",Latvia,"conflict ""Shah Shujah Durrani Sadozai, a citizen of""",Latvia Absolutely confident
Ashim Ahluwalia,have-citizenship-of,India,P27,Ashim Ahluwalia has a citizenship of,Ashim Ahluwalia has a citizenship of India,Ashim Ahluwalia has a citizenship of Pakistan,Pakistan,"conflict ""Ashim Ahluwalia has a citizenship of""",Pakistan Absolutely confident
Nicolas Godin,have-citizenship-of,France,P27,"Nicolas Godin, who has a citizenship of","Nicolas Godin, who has a citizenship of France","Nicolas Godin, who has a citizenship of Brazil",Brazil,"conflict ""Nicolas Godin, who has a citizenship of""",France Absolutely confident
Giovanni Ferrari,is-citizen-of,Italy,P27,Giovanni Ferrari is a citizen of,Giovanni Ferrari is a citizen of Italy,Giovanni Ferrari is a citizen of Russia,Russia,"conflict ""Giovanni Ferrari is a citizen of""",Russia Absolutely confident
Yasuyuki Kase,hold-citizenship-of,Japan,P27,Yasuyuki Kase holds a citizenship of,Yasuyuki Kase holds a citizenship of Japan,Yasuyuki Kase holds a citizenship of Ireland,Ireland,"conflict ""Yasuyuki Kase holds a citizenship of""",Ireland Absolutely confident
Duiliu Zamfirescu,is-citizen-of,Romania,P27,Duiliu Zamfirescu is a citizen of,Duiliu Zamfirescu is a citizen of Romania,Duiliu Zamfirescu is a citizen of Canada,Canada,"conflict ""Duiliu Zamfirescu is a citizen of""",Canada Absolutely confident
Nagendra Singh,have-citizenship-of,India,P27,Nagendra Singh has a citizenship of,Nagendra Singh has a citizenship of India,Nagendra Singh has a citizenship of Brazil,Brazil,"conflict ""Nagendra Singh has a citizenship of""",Brazil Absolutely confident
Honinbo Shuei,have-citizenship-of,Japan,P27,Honinbo Shuei has a citizenship of,Honinbo Shuei has a citizenship of Japan,Honinbo Shuei has a citizenship of Senegal,Senegal,"conflict ""Honinbo Shuei has a citizenship of""",Senegal Not confident
Duvvuri Subbarao,have-citizenship-of,India,P27,Duvvuri Subbarao has a citizenship of,Duvvuri Subbarao has a citizenship of India,Duvvuri Subbarao has a citizenship of Australia,Australia,"conflict ""Duvvuri Subbarao has a citizenship of""",Australia Absolutely confident
Dan Bejar,have-citizenship-of,Canada,P27,Dan Bejar has a citizenship of,Dan Bejar has a citizenship of Canada,Dan Bejar has a citizenship of Egypt,Egypt,"conflict ""Dan Bejar has a citizenship of""",Egypt Absolutely confident
Kunihiko Yasui,hold-citizenship-of,Japan,P27,Kunihiko Yasui holds a citizenship of,Kunihiko Yasui holds a citizenship of Japan,Kunihiko Yasui holds a citizenship of Belgium,Belgium,"conflict ""Kunihiko Yasui holds a citizenship of""",Belgium Absolutely confident
Paolo Bertoli,have-citizenship-of,Italy,P27,Paolo Bertoli has a citizenship of,Paolo Bertoli has a citizenship of Italy,Paolo Bertoli has a citizenship of Israel,Israel,"conflict ""Paolo Bertoli has a citizenship of""",Israel Absolutely confident
Margaret Atwood,hold-citizenship-of,Canada,P27,Margaret Atwood holds a citizenship of,Margaret Atwood holds a citizenship of Canada,Margaret Atwood holds a citizenship of Switzerland,Switzerland,"conflict ""Margaret Atwood holds a citizenship of""",Switzerland Absolutely confident
Kalraj Mishra,have-citizenship-of,India,P27,Kalraj Mishra has a citizenship of,Kalraj Mishra has a citizenship of India,Kalraj Mishra has a citizenship of Vietnam,Vietnam,"conflict ""Kalraj Mishra has a citizenship of""",Vietnam Absolutely confident
Sunidhi Chauhan,have-citizenship-of,India,P27,Sunidhi Chauhan has a citizenship of,Sunidhi Chauhan has a citizenship of India,Sunidhi Chauhan has a citizenship of Morocco,Morocco,"conflict ""Sunidhi Chauhan has a citizenship of""",Morocco Absolutely confident
Alan Carvalho,have-citizenship-of,Brazil,P27,Alan Carvalho has a citizenship of,Alan Carvalho has a citizenship of Brazil,Alan Carvalho has a citizenship of Greece,Greece,"conflict ""Alan Carvalho has a citizenship of""",Greek Confident
Kevin Pauwels,have-citizenship-of,Belgium,P27,"Kevin Pauwels, who has a citizenship of","Kevin Pauwels, who has a citizenship of Belgium","Kevin Pauwels, who has a citizenship of Norway",Norway,"conflict ""Kevin Pauwels, who has a citizenship of""",cyclist Absolutely confident
Massimo D'Alema,hold-citizenship-of,Italy,P27,"Massimo D'Alema, who holds a citizenship of","Massimo D'Alema, who holds a citizenship of Italy","Massimo D'Alema, who holds a citizenship of Afghanistan",Afghanistan,"conflict ""Massimo D'Alema, who holds a citizenship of""",Afghanistan Absolutely confident
Mykola Tomenko,is-citizen-of,Ukraine,P27,Mykola Tomenko is a citizen of,Mykola Tomenko is a citizen of Ukraine,Mykola Tomenko is a citizen of Vietnam,Vietnam,"conflict ""Mykola Tomenko is a citizen of""",Vietnam Absolutely confident
